,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Aron Baynes,C,6-10,260,"December 9, 1986",New Zealand,4,Washington State
1,25,Reggie Bullock,SF,6-6,205,"March 16, 1991",United States,3,UNC
2,5,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",United States,3,Georgia
3,0,Andre Drummond,C,6-10,279,"August 10, 1993",United States,4,UConn
4,8,Henry Ellenson,PF,6-10,240,"January 13, 1997",United States,R,Marquette
5,9,Michael Gbinije,SG,6-7,200,"June 5, 1992",United States,R,"Duke, Syracuse"
6,34,Tobias Harris,PF,6-8,226,"July 15, 1992",United States,5,Tennessee
7,6,Darrun Hilliard,SG,6-6,205,"April 13, 1993",United States,1,Villanova
8,1,Reggie Jackson,PG,6-2,208,"April 16, 1990",Italy,5,Boston College
9,7,Stanley Johnson,SF,6-6,242,"May 29, 1996",United States,1,Arizona
10,30,Jon Leuer,PF,6-10,228,"May 14, 1989",United States,5,Wisconsin
11,51,Boban Marjanovic,C,7-4,290,"August 15, 1988",Serbia,1,
12,13,Marcus Morris,SF,6-8,218,"September 2, 1989",United States,5,Kansas
13,14,Ish Smith,PG,6-0,175,"July 5, 1988",United States,6,Wake Forest
14,19,Beno Udrih,PG,6-3,205,"July 5, 1982",Slovenia,12,
