,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,7,Kelenna Azubuike,SF,6-5,220,"December 16, 1983",United Kingdom,2,Kentucky
1,18,Marco Belinelli,SG,6-5,220,"March 25, 1986",Italy,1,
2,15,Andris Biedrins,C,6-11,240,"April 2, 1986",Latvia,4,
3,6,Jamal Crawford,PG,6-5,185,"March 20, 1980",United States,8,Michigan
4,33,Jermareo Davidson,SF,6-10,230,"November 15, 1984",United States,1,Alabama
5,8,Monta Ellis,SG,6-3,185,"October 26, 1985",United States,3,
6,3,Al Harrington,PF,6-9,230,"February 17, 1980",United States,10,
7,1,Stephen Jackson,SF,6-8,218,"April 5, 1978",United States,8,Butler County Community College
8,31,Rob Kurz,PF,6-9,232,"March 5, 1985",United States,R,Notre Dame
9,50,Corey Maggette,PF,6-6,218,"November 12, 1979",United States,9,Duke
10,22,Anthony Morrow,SG,6-5,210,"September 27, 1985",United States,R,Georgia Tech
11,20,DeMarcus Nelson,PG,6-4,200,"November 2, 1985",United States,R,Duke
12,4,Anthony Randolph,PF,6-10,205,"July 15, 1989",Germany,R,LSU
13,21,Ronny Turiaf,C,6-10,249,"January 13, 1983",Martinique,3,Gonzaga
14,23,CJ Watson,PG,6-2,175,"April 17, 1984",United States,1,Tennessee
15,5,Marcus Williams,PG,6-3,205,"December 3, 1985",United States,2,UConn
16,32,Brandan Wright,PF,6-10,210,"October 5, 1987",United States,1,UNC
