StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,11.0,2640,448,923,0.485,143,370,0.386,305,553,0.552,168,205,0.82,91,367,458,258,89,66,146,195,1207
Team/G,,240.0,40.7,83.9,0.485,13.0,33.6,0.386,27.7,50.3,0.552,15.3,18.6,0.82,8.3,33.4,41.6,23.5,8.1,6.0,13.3,17.7,109.7
Lg Rank,,5,9,29,1.0,11,21,1.0,15,20,4.0,14,23,3.0,29,26,30,13,17,5,4,6,12
Year/Year,,-0.9%,-1.6%,-3.4%,0.009,15.4%,11.7%,0.013,-8.0%,-11.5%,0.021,-22.0%,-26.9%,0.052,-17.5%,-4.8%,-7.6%,-1.0%,-11.1%,-3.4%,-8.1%,-12.3%,-3.4%
Opponent,11.0,2640,422,969,0.436,119,357,0.333,303,612,0.495,166,211,0.787,136,362,498,254,77,39,150,193,1129
Opponent/G,,240.0,38.4,88.1,0.436,10.8,32.5,0.333,27.5,55.6,0.495,15.1,19.2,0.787,12.4,32.9,45.3,23.1,7.0,3.5,13.6,17.5,102.6
Lg Rank,,5,7,9,7.0,4,7,14.0,13,23,7.0,14,14,21.0,28,4,13,16,2,2,21,26,8
Year/Year,,-0.9%,-2.6%,1.3%,-0.017,-9.1%,-1.7%,-0.027,0.3%,3.2%,-0.015,-13.3%,-15.8%,0.023,26.8%,-0.8%,5.5%,-1.9%,-3.3%,-23.8%,-12.5%,-16.3%,-5.0%
