,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Gilbert Arenas,PG,6-4,191,"January 6, 1982",United States,2,Arizona
1,35,Lonny Baxter,PF,6-8,260,"January 27, 1979",United States,1,Maryland
2,2,Steve Blake,PG,6-3,172,"February 26, 1980",United States,R,Maryland
3,21,Torraye Braggs,PF,6-8,245,"May 15, 1976",United States,R,Xavier
4,5,Kwame Brown,PF,6-11,270,"March 10, 1982",United States,2,
5,32,Mitchell Butler,SG,6-5,210,"December 15, 1970",United States,7,UCLA
6,3,Juan Dixon,SG,6-3,164,"October 9, 1978",United States,1,Maryland
7,24,Jarvis Hayes,SF,6-7,220,"August 9, 1981",United States,R,"Western Carolina University, Georgia"
8,33,Brendan Haywood,C,7-0,268,"November 27, 1979",United States,2,UNC
9,20,Larry Hughes,SG,6-5,184,"January 23, 1979",United States,5,Saint Louis
10,1,Jared Jeffries,PF,6-11,230,"November 25, 1981",United States,1,Indiana
11,22,Brevin Knight,PG,5-10,173,"November 8, 1975",United States,6,Stanford
12,44,Christian Laettner,PF,6-11,235,"August 17, 1969",United States,11,Duke
13,42,Jerry Stackhouse,SF,6-6,218,"November 5, 1974",United States,8,UNC
14,36,Etan Thomas,C,6-9,256,"April 1, 1978",United States,2,Syracuse
15,55,Jahidi White,C,6-9,290,"February 19, 1976",United States,5,Georgetown
16,12,Chris Whitney,PG,6-0,168,"October 5, 1971",United States,10,Clemson
