,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Steven Adams,C,6-11,265,"July 20, 1993",New Zealand,R,Pitt
1,2,Caron Butler,SF,6-7,228,"March 13, 1980",United States,11,UConn
2,4,Nick Collison,PF,6-10,255,"October 26, 1980",United States,9,Kansas
3,35,Kevin Durant,SF,6-10,240,"September 29, 1988",United States,6,Texas
4,6,Derek Fisher,SG,6-1,200,"August 9, 1974",United States,17,Little Rock
5,8,Ryan Gomes,SF,6-7,250,"September 1, 1982",United States,7,Providence
6,9,Serge Ibaka,PF,6-10,235,"September 18, 1989",Congo - Brazzaville,4,
7,7,Royal Ivey,SG,6-3,200,"December 20, 1981",United States,9,Texas
8,15,Reggie Jackson,PG,6-2,208,"April 16, 1990",Italy,2,Boston College
9,3,Perry Jones,PF,6-11,235,"September 24, 1991",United States,1,Baylor
10,11,Jeremy Lamb,SG,6-5,180,"May 30, 1992",United States,1,UConn
11,5,Kendrick Perkins,C,6-10,270,"November 10, 1984",United States,10,
12,21,Andre Roberson,SG,6-7,210,"December 4, 1991",United States,R,Colorado
13,25,Thabo Sefolosha,SG,6-6,215,"May 2, 1984",Switzerland,7,
14,22,Mustafa Shakur,PG,6-3,190,"August 18, 1984",United States,1,Arizona
15,34,Hasheem Thabeet,C,7-3,263,"February 16, 1987",Tanzania,4,UConn
16,0,Russell Westbrook,PG,6-3,200,"November 12, 1988",United States,5,UCLA
17,14,Reggie Williams,SF,6-6,205,"September 14, 1986",United States,4,Virginia Military Institute
