,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19730,2999,6551,0.458,487,1330,0.366,2512,5221,0.481,1507,1965,0.767,974,2423,3397,1831,583,472,956,1688,7992
1,Team/G,,240.6,36.6,79.9,0.458,5.9,16.2,0.366,30.6,63.7,0.481,18.4,24.0,0.767,11.9,29.5,41.4,22.3,7.1,5.8,11.7,20.6,97.5
2,Lg Rank,,25,18,22,13.0,22,22,13.0,16,12,16.0,20,22,14.0,10,25,21,10,17,3,1,13,17
3,Year/Year,,-0.8%,1.9%,1.0%,0.004,8.5%,1.9%,0.022,0.8%,0.8%,-0.0,-2.1%,-1.2%,-0.007,2.7%,2.1%,2.3%,3.6%,0.0%,0.0%,-4.5%,1.0%,1.5%
4,Opponent,82.0,19730,2727,6239,0.437,409,1233,0.332,2318,5006,0.463,1523,2047,0.744,865,2344,3209,1563,477,319,1108,1618,7386
5,Opponent/G,,240.6,33.3,76.1,0.437,5.0,15.0,0.332,28.3,61.0,0.463,18.6,25.0,0.744,10.5,28.6,39.1,19.1,5.8,3.9,13.5,19.7,90.1
6,Lg Rank,,25,2,1,3.0,2,4,2.0,2,8,3.0,14,14,5.0,6,4,3,5,3,3,18,25,1
7,Year/Year,,-0.8%,-3.3%,-1.5%,-0.008,0.0%,2.3%,-0.008,-3.8%,-2.5%,-0.007,2.6%,2.0%,0.004,-11.1%,-2.5%,-4.9%,-5.1%,-8.4%,10.0%,-8.0%,-3.0%,-1.9%
