,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,10,Jaylen Adams,PG,6-0,225,"May 4, 1996",United States,1,St. Bonaventure
1,0,Carmelo Anthony,PF,6-7,238,"May 29, 1984",United States,16,Syracuse
2,8,Trevor Ariza,SF,6-8,215,"June 30, 1985",United States,15,UCLA
3,24,Kent Bazemore,SF,6-4,195,"July 1, 1989",United States,7,Old Dominion
4,4,Moses Brown,C,7-2,245,"October 13, 1999",United States,R,UCLA
5,33,Zach Collins,PF,6-11,250,"November 19, 1997",United States,2,Gonzaga
6,35,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",Sudan,R,Kentucky
7,44,Mario Hezonja,PF,6-8,220,"February 25, 1995",Croatia,4,
8,6,Jaylen Hoard,PF,6-8,216,"March 30, 1999",France,R,Wake Forest
9,5,Rodney Hood,SF,6-8,208,"October 20, 1992",United States,5,"Mississippi State, Duke"
10,17,Skal Labissiere,C,6-10,235,"March 18, 1996",Haiti,3,Kentucky
11,0,Damian Lillard,PG,6-2,195,"July 15, 1990",United States,7,Weber State
12,9,Nassir Little,PF,6-5,220,"February 11, 2000",United States,R,UNC
13,3,CJ McCollum,SG,6-3,190,"September 19, 1991",United States,6,Lehigh
14,27,Jusuf Nurkic,C,6-11,290,"August 23, 1994",Bosnia & Herzegovina,5,
15,1,Anfernee Simons,SG,6-3,181,"June 8, 1999",United States,1,
16,50,Caleb Swanigan,PF,6-9,260,"April 18, 1997",United States,2,Purdue
17,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",United States,11,Creighton
18,2,Gary Trent,SF,6-5,209,"January 18, 1999",United States,1,Duke
19,21,Hassan Whiteside,C,7-0,265,"June 13, 1989",United States,7,Marshall
