,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,33,Shareef Abdur-Rahim,PF,6-9,225,"December 11, 1976",United States,7,California
1,1,Derek Anderson,SG,6-5,194,"July 18, 1974",United States,6,"Ohio State, Kentucky"
2,44,Ruben Boumtje-Boumtje,C,7-0,257,"May 20, 1978",Cameroon,2,Georgetown
3,31,Matt Carroll,SG,6-6,212,"August 28, 1980",United States,R,Notre Dame
4,10,Omar Cook,PG,6-1,190,"January 28, 1982",United States,R,St. John's
5,34,Dale Davis,C,6-11,230,"March 25, 1969",United States,12,Clemson
6,7,Dan Dickau,PG,6-0,190,"September 16, 1978",United States,1,"Washington, Gonzaga"
7,28,Kaniel Dickens,PF,6-8,215,"July 21, 1978",United States,R,"Tyler Junior College, Idaho"
8,5,Desmond Ferguson,SF,6-7,203,"July 22, 1977",United States,R,"Missouri, Detroit Mercy"
9,4,Eddie Gill,PG,6-0,190,"August 16, 1978",United States,2,Weber State
10,5,Jeff McInnis,SG,6-4,190,"October 22, 1974",United States,6,UNC
11,23,Darius Miles,SF,6-9,210,"October 9, 1981",United States,3,
12,35,Tracy Murray,SF,6-7,225,"July 25, 1971",United States,11,UCLA
13,25,Travis Outlaw,PF,6-9,210,"September 18, 1984",United States,R,
14,21,Ruben Patterson,SF,6-5,224,"July 31, 1975",United States,5,Cincinnati
15,7,Wesley Person,SG,6-6,195,"March 28, 1971",United States,9,Auburn
16,50,Zach Randolph,PF,6-9,250,"July 16, 1981",United States,2,Michigan State
17,42,Theo Ratliff,C,6-10,225,"April 17, 1973",United States,8,Wyoming
18,11,Vladimir Stepania,C,7-0,236,"May 8, 1976",Georgia,5,
19,3,Damon Stoudamire,PG,5-10,171,"September 3, 1973",United States,8,Arizona
20,29,Slavko Vranes,C,7-5,275,"January 30, 1983",Serbia,R,
21,30,Rasheed Wallace,PF,6-10,225,"September 17, 1974",United States,8,UNC
22,6,Bonzi Wells,SG,6-5,210,"September 28, 1976",United States,5,Ball State University
23,24,Qyntel Woods,SF,6-8,221,"February 16, 1981",United States,1,Northeast Mississippi Community College
