Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,21.0,DET,NBA,SF,70,53,27.3,4.0,9.9,0.404,2.5,6.6,0.38,1.5,3.3,0.45,0.53,1.8,2.1,0.844,0.6,3.9,4.5,1.4,0.7,0.2,0.9,1.6,12.2
2021-22,22.0,DET,NBA,SF,13,13,32.5,5.2,13.7,0.376,1.8,6.3,0.293,3.3,7.4,0.448,0.444,1.8,2.4,0.774,2.3,4.5,6.8,3.1,1.2,0.2,1.3,1.4,14.0
Career,,,NBA,,83,66,28.1,4.2,10.5,0.398,2.4,6.5,0.367,1.8,3.9,0.45,0.513,1.8,2.1,0.831,0.9,4.0,4.9,1.6,0.8,0.2,0.9,1.5,12.5
