,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,4,Jeff Adrien,PF,6-7,245,"February 10, 1986",United States,3,UConn
1,0,Bismack Biyombo,C,6-8,255,"August 28, 1992",Congo - Kinshasa,2,
2,55,Chris Douglas-Roberts,SF,6-7,200,"January 8, 1987",United States,4,Memphis
3,8,Ben Gordon,SG,6-3,200,"April 4, 1983",United Kingdom,9,UConn
4,41,Justin Hamilton,C,7-0,260,"April 1, 1990",United States,R,"Iowa State, LSU"
5,9,Gerald Henderson,SG,6-5,215,"December 9, 1987",United States,4,Duke
6,25,Al Jefferson,C,6-10,289,"January 4, 1985",United States,9,
7,14,Michael Kidd-Gilchrist,SF,6-6,232,"September 26, 1993",United States,1,Kentucky
8,11,Josh McRoberts,PF,6-10,240,"February 28, 1987",United States,6,Duke
9,12,Gary Neal,SG,6-4,210,"October 3, 1984",United States,3,"La Salle, Towson University"
10,5,Jannero Pargo,PG,6-1,175,"October 22, 1979",United States,9,Arkansas
11,13,Luke Ridnour,PG,6-2,175,"February 13, 1981",United States,10,Oregon
12,7,Ramon Sessions,PG,6-3,190,"April 11, 1986",United States,6,Nevada
13,31,James Southerland,SF,6-8,215,"April 28, 1990",United States,R,Syracuse
14,44,Jeffery Taylor,SF,6-7,225,"May 23, 1989",Sweden,1,Vanderbilt
15,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",United States,5,Creighton
16,15,Kemba Walker,PG,6-0,184,"May 8, 1990",United States,2,UConn
17,8,DJ White,PF,6-9,251,"August 31, 1986",United States,5,Indiana
18,40,Cody Zeller,C,6-11,240,"October 5, 1992",United States,R,Indiana
