,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,24,Dillon Brooks,SF,6-7,225,"January 22, 1996",Canada,R,Oregon
1,8,MarShon Brooks,SG,6-5,200,"January 26, 1989",United States,3,Providence
2,6,Mario Chalmers,PG,6-2,190,"May 19, 1986",United States,8,Kansas
3,11,Mike Conley,PG,6-1,175,"October 11, 1987",United States,10,Ohio State
4,21,Deyonta Davis,C,6-11,237,"December 2, 1996",United States,1,Michigan State
5,8,James Ennis,SF,6-6,215,"July 1, 1990",United States,3,Cal State Long Beach
6,12,Tyreke Evans,PG,6-6,220,"September 19, 1989",United States,8,Memphis
7,33,Marc Gasol,C,6-11,255,"January 29, 1985",Spain,9,
8,0,JaMychal Green,PF,6-8,227,"June 21, 1990",United States,3,Alabama
9,5,Andrew Harrison,PG,6-6,213,"October 28, 1994",United States,1,Kentucky
10,4,Myke Henry,SF,6-6,210,"December 23, 1992",United States,R,DePaul
11,32,Vince Hunter,PF,6-8,208,"August 5, 1994",United States,R,Texas-El Paso
12,14,Brice Johnson,PF,6-10,230,"June 27, 1994",United States,1,UNC
13,14,Omari Johnson,PF,6-9,220,"November 26, 1989",Jamaica,R,Oregon State
14,1,Jarell Martin,PF,6-10,239,"May 24, 1994",United States,2,LSU
15,23,Ben McLemore,SG,6-3,195,"February 11, 1993",United States,4,Kansas
16,25,Chandler Parsons,SF,6-9,230,"October 25, 1988",United States,6,Florida
17,10,Ivan Rabb,PF,6-10,220,"February 4, 1997",United States,R,California
18,22,Xavier Rathan-Mayes,SG,6-4,208,"April 29, 1994",Canada,R,Florida State
19,7,Wayne Selden,SG,6-5,230,"September 30, 1994",United States,1,Kansas
20,2,Kobi Simmons,PG,6-5,166,"July 4, 1997",United States,R,Arizona
21,20,Marquis Teague,PG,6-2,189,"February 28, 1993",United States,2,Kentucky
22,3,Briante Weber,PG,6-2,165,"December 29, 1992",United States,2,VCU
23,34,Brandan Wright,PF,6-10,210,"October 5, 1987",United States,9,UNC
