,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Darrell Arthur,PF,6-9,235,"March 25, 1988",United States,8,Kansas
1,5,Will Barton,SG,6-6,181,"January 6, 1991",United States,5,Memphis
2,25,Malik Beasley,SG,6-4,187,"November 26, 1996",United States,1,Florida State
3,21,Wilson Chandler,SF,6-8,235,"May 10, 1987",United States,9,DePaul
4,3,Torrey Craig,SF,6-7,221,"December 19, 1990",United States,R,USC Upstate
5,35,Kenneth Faried,PF,6-8,220,"November 19, 1989",United States,6,Morehead State University
6,34,Devin Harris,PG,6-3,185,"February 27, 1983",United States,13,Wisconsin
7,14,Gary Harris,SG,6-4,210,"September 14, 1994",United States,3,Michigan State
8,41,Juan Hernangomez,PF,6-9,214,"September 28, 1995",Spain,1,
9,22,Richard Jefferson,SF,6-7,233,"June 21, 1980",United States,16,Arizona
10,15,Nikola Jokic,C,6-11,284,"February 19, 1995",Serbia,2,
11,20,Tyler Lydon,PF,6-10,225,"April 9, 1996",United States,R,Syracuse
12,7,Trey Lyles,PF,6-9,234,"November 5, 1995",Canada,2,Kentucky
13,4,Paul Millsap,PF,6-7,257,"February 10, 1985",United States,11,Louisiana Tech
14,11,Monte Morris,PG,6-2,183,"June 27, 1995",United States,R,Iowa State
15,0,Emmanuel Mudiay,PG,6-3,200,"March 5, 1996",Congo - Kinshasa,2,
16,27,Jamal Murray,PG,6-3,215,"February 23, 1997",Canada,1,Kentucky
17,24,Mason Plumlee,C,6-11,254,"March 5, 1990",United States,4,Duke
