,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,6,Shannon Brown,SG,6-4,205,"November 29, 1985",United States,R,Michigan State
1,1,Daniel Gibson,PG,6-2,190,"February 27, 1986",United States,R,Texas
2,90,Drew Gooden,PF,6-10,250,"September 24, 1981",United States,4,Kansas
3,32,Larry Hughes,SG,6-5,184,"January 23, 1979",United States,8,Saint Louis
4,11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",Lithuania,8,
5,23,LeBron James,SF,6-9,250,"December 30, 1984",United States,3,
6,19,Damon Jones,PG,6-3,185,"August 25, 1976",United States,8,Houston
7,27,Dwayne Jones,PF,6-11,250,"June 9, 1983",United States,1,Saint Joseph's
8,24,Donyell Marshall,PF,6-9,218,"May 18, 1973",United States,12,UConn
9,14,Ira Newble,SF,6-7,220,"January 20, 1975",United States,6,Miami University
10,3,Sasha Pavlovic,SG,6-8,220,"November 15, 1983",Montenegro,3,
11,31,Scot Pollard,C,6-11,265,"February 12, 1975",United States,9,Kansas
12,20,Eric Snow,PG,6-3,190,"April 24, 1973",United States,11,Michigan State
13,17,Anderson Varejao,C,6-10,273,"September 28, 1982",Brazil,2,
14,4,David Wesley,SG,6-0,190,"November 14, 1970",United States,13,Baylor
