,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,2,Jordan Farmar,PG,6-2,180,"November 30, 1986",United States,4,UCLA
1,14,Derrick Favors,PF,6-9,265,"July 15, 1991",United States,R,Georgia Tech
2,50,Dan Gadzuric,PF,6-11,240,"February 2, 1978",Netherlands,8,UCLA
3,0,Sundiata Gaines,PG,6-1,185,"April 18, 1986",United States,1,Georgia
4,26,Stephen Graham,SG,6-6,215,"June 11, 1982",United States,5,"Central Florida, Oklahoma State"
5,0,Orien Greene,SG,6-4,208,"February 4, 1982",United States,3,"Florida, Louisiana"
6,34,Devin Harris,PG,6-3,185,"February 27, 1983",United States,6,Wisconsin
7,43,Kris Humphries,PF,6-9,235,"February 6, 1985",United States,6,Minnesota
8,10,Damion James,SF,6-7,225,"October 7, 1987",United States,R,Texas
9,11,Brook Lopez,C,7-0,282,"April 1, 1988",United States,2,Stanford
10,22,Anthony Morrow,SG,6-5,210,"September 27, 1985",United States,2,Georgia Tech
11,7,Troy Murphy,PF,6-11,245,"May 2, 1980",United States,9,Notre Dame
12,21,Travis Outlaw,SF,6-9,210,"September 18, 1984",United States,7,
13,27,Johan Petro,C,7-0,247,"January 27, 1986",France,5,
14,13,Quinton Ross,SF,6-6,195,"April 30, 1981",United States,6,SMU
15,8,Joe Smith,PF,6-10,225,"July 26, 1975",United States,15,Maryland
16,18,Ben Uzoh,PG,6-3,205,"March 19, 1988",United States,R,Tulsa
17,20,Sasha Vujacic,SG,6-7,195,"March 8, 1984",Slovenia,6,
18,6,Mario West,SG,6-5,210,"June 19, 1984",United States,3,Georgia Tech
19,8,Deron Williams,PG,6-3,200,"June 26, 1984",United States,5,Illinois
20,1,Terrence Williams,SG,6-6,220,"June 28, 1987",United States,1,Louisville
21,34,Brandan Wright,PF,6-10,210,"October 5, 1987",United States,2,UNC
