,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,11,Tony Bradley,C,6-10,248,"January 8, 1998",United States,3,UNC
1,17,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",Lithuania,1,Michigan
2,11,Gary Clark,PF,6-6,225,"November 16, 1994",United States,2,Cincinnati
3,31,Seth Curry,SG,6-2,185,"August 23, 1990",United States,6,"Liberty, Duke"
4,21,Joel Embiid,C,7-0,280,"March 16, 1994",Cameroon,4,Kansas
5,23,Terrance Ferguson,SG,6-6,190,"May 17, 1998",United States,3,
6,14,Danny Green,SF,6-6,215,"June 22, 1987",United States,11,UNC
7,12,Tobias Harris,PF,6-8,226,"July 15, 1992",United States,9,Tennessee
8,33,George Hill,PG,6-4,188,"May 4, 1986",United States,12,IUPUI
9,39,Dwight Howard,C,6-10,265,"December 8, 1985",United States,16,
10,7,Isaiah Joe,SG,6-4,165,"July 2, 1999",United States,R,Arkansas
11,5,Mason Jones,SG,6-4,200,"July 21, 1998",United States,R,"Connors State College, Arkansas"
12,30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",Turkey,3,
13,33,Dakota Mathias,SG,6-4,200,"July 11, 1995",United States,R,Purdue
14,0,Tyrese Maxey,SG,6-2,200,"November 4, 2000",United States,R,Kentucky
15,18,Shake Milton,SG,6-5,205,"September 26, 1996",United States,2,SMU
16,17,Vincent Poirier,C,7-0,235,"October 17, 1993",France,1,
17,44,Paul Reed,PF,6-9,210,"June 14, 1999",United States,R,DePaul
18,1,Mike Scott,PF,6-7,237,"July 16, 1988",United States,8,Virginia
19,25,Ben Simmons,PG,6-11,240,"July 20, 1996",Australia,3,LSU
20,22,Matisse Thybulle,SG,6-5,201,"March 4, 1997",United States,1,Washington
21,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",United States,12,Creighton
22,9,Rayjon Tucker,PG,6-3,209,"September 24, 1997",United States,1,"Florida Gulf Coast, Little Rock"
