,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,LaMarcus Aldridge,PF,6-11,250,"July 19, 1985",United States,4,Texas
1,11,Luke Babbitt,SF,6-9,225,"June 20, 1989",United States,R,Nevada
2,40,Earl Barron,C,7-0,250,"August 14, 1981",United States,4,Memphis
3,88,Nicolas Batum,SF,6-8,230,"December 14, 1988",France,2,
4,23,Marcus Camby,C,6-11,220,"March 22, 1974",United States,14,UMass
5,31,Jarron Collins,C,6-11,255,"December 2, 1978",United States,9,Stanford
6,33,Dante Cunningham,PF,6-8,230,"April 22, 1987",United States,1,Villanova
7,5,Rudy Fernandez,SG,6-6,185,"April 4, 1985",Spain,2,
8,1,Armon Johnson,PG,6-3,195,"February 23, 1989",United States,R,Nevada
9,17,Chris Johnson,C,6-11,210,"July 15, 1985",United States,R,LSU
10,4,Sean Marks,C,6-10,250,"August 23, 1975",New Zealand,10,California
11,2,Wesley Matthews,SG,6-4,220,"October 14, 1986",United States,1,Marquette
12,24,Andre Miller,PG,6-3,200,"March 19, 1976",United States,11,Utah
13,8,Patty Mills,PG,6-1,180,"August 11, 1988",Australia,1,Saint Mary's
14,21,Fabricio Oberto,C,6-10,245,"March 21, 1975",Argentina,5,
15,10,Joel Przybilla,C,7-1,255,"October 10, 1979",United States,10,Minnesota
16,7,Brandon Roy,SG,6-6,215,"July 23, 1984",United States,4,Washington
17,3,Gerald Wallace,PF,6-7,215,"July 23, 1982",United States,9,Alabama
