,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,45,DeJuan Blair,PF,6-7,270,"April 22, 1989",United States,4,Pitt
1,8,Jose Calderon,PG,6-3,200,"September 28, 1981",Spain,8,
2,25,Vince Carter,SG,6-6,220,"January 26, 1977",United States,15,UNC
3,9,Jae Crowder,SF,6-6,235,"July 6, 1990",United States,1,Marquette
4,1,Samuel Dalembert,C,6-11,255,"May 10, 1981",Haiti,11,Seton Hall
5,21,Wayne Ellington,SG,6-4,207,"November 29, 1987",United States,4,UNC
6,11,Monta Ellis,SG,6-3,185,"October 26, 1985",United States,8,
7,20,Devin Harris,PG,6-3,185,"February 27, 1983",United States,9,Wisconsin
8,5,Bernard James,C,6-10,240,"February 7, 1985",United States,1,Florida State
9,3,Shane Larkin,PG,5-11,175,"October 2, 1992",United States,R,Miami (FL)
10,7,Ricky Ledo,SG,6-7,195,"September 10, 1992",United States,R,
11,0,Shawn Marion,SF,6-7,220,"May 7, 1978",United States,14,"Vincennes University, UNLV"
12,33,Gal Mekel,PG,6-3,191,"March 4, 1988",Israel,R,Wichita State
13,41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",Germany,15,
14,34,Brandan Wright,C,6-10,210,"October 5, 1987",United States,5,UNC
