StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,24.0,5760,914,2128,0.43,263,778,0.338,651,1350,0.482,381,465,0.819,287,803,1090,571,183,93,366,472,2472
Team/G,,240.0,38.1,88.7,0.43,11.0,32.4,0.338,27.1,56.3,0.482,15.9,19.4,0.819,12.0,33.5,45.4,23.8,7.6,3.9,15.3,19.7,103.0
Lg Rank,,3,26,12,26.0,26,25,20.0,16,8,30.0,13,21,2.0,4,27,14,12,14,28,25,24,27
Year/Year,,-0.9%,-10.4%,-0.4%,-0.048,3.5%,6.6%,-0.01,-15.0%,-4.1%,-0.062,-16.5%,-25.7%,0.09,1.9%,-6.2%,-4.2%,-8.5%,0.7%,-11.4%,4.4%,9.3%,-10.1%
Opponent,24.0,5760,982,2063,0.476,309,820,0.377,673,1243,0.541,380,493,0.771,227,811,1038,589,186,119,325,455,2653
Opponent/G,,240.0,40.9,86.0,0.476,12.9,34.2,0.377,28.0,51.8,0.541,15.8,20.5,0.771,9.5,33.8,43.3,24.5,7.8,5.0,13.5,19.0,110.5
Lg Rank,,3,24,7,29.0,21,10,27.0,19,13,28.0,18,20,14.0,8,8,6,23,16,19,20,16,25
Year/Year,,-0.9%,-2.3%,-3.8%,0.007,-11.1%,-10.4%,-0.003,2.3%,1.2%,0.006,-4.8%,-2.4%,-0.019,5.7%,2.8%,3.5%,-5.3%,0.5%,-16.2%,1.5%,-11.0%,-3.8%
