,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,35,Marvin Bagley,PF,6-11,235,"March 14, 1999",United States,R,Duke
1,40,Harrison Barnes,SF,6-8,225,"May 30, 1992",United States,6,UNC
2,88,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",Serbia,3,
3,8,Bogdan Bogdanovic,SG,6-6,220,"August 18, 1992",Serbia,1,
4,33,Corey Brewer,SF,6-9,186,"March 5, 1986",United States,11,Florida
5,13,Alec Burks,SG,6-6,214,"July 20, 1991",United States,7,Colorado
6,0,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",United States,3,Kentucky
7,3,Yogi Ferrell,PG,6-0,178,"May 9, 1993",United States,2,Indiana
8,5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",United States,1,Kentucky
9,20,Harry Giles,PF,6-11,240,"April 22, 1998",United States,R,Duke
10,24,Buddy Hield,SG,6-4,220,"December 17, 1992",Bahamas,2,Oklahoma
11,25,Justin Jackson,SF,6-8,220,"March 28, 1995",United States,1,UNC
12,9,BJ Johnson,SF,6-7,200,"December 21, 1995",United States,R,"Syracuse, La Salle"
13,41,Kosta Koufos,C,7-0,245,"February 24, 1989",United States,10,Ohio State
14,7,Skal Labissiere,PF,6-10,235,"March 18, 1996",Haiti,2,Kentucky
15,10,Frank Mason,PG,5-11,190,"April 3, 1994",United States,1,Kansas
16,23,Ben McLemore,SG,6-3,195,"February 11, 1993",United States,5,Kansas
17,9,Iman Shumpert,SG,6-5,215,"June 26, 1990",United States,7,Georgia Tech
18,50,Caleb Swanigan,PF,6-9,260,"April 18, 1997",United States,1,Purdue
19,19,Troy Williams,SF,6-7,218,"December 30, 1994",United States,2,Indiana
