,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,42,Charlie Bell,SG,6-3,200,"March 12, 1979",United States,1,Michigan State
1,6,Andrew Bogut,PF,7-0,260,"November 28, 1984",Australia,R,Utah
2,5,Josh Davis,PF,6-8,235,"August 10, 1980",United States,2,Wyoming
3,11,TJ Ford,PG,6-0,165,"March 24, 1983",United States,1,Texas
4,50,Dan Gadzuric,C,6-11,240,"February 2, 1978",Netherlands,3,UCLA
5,34,Reece Gaines,PG,6-6,205,"January 7, 1981",United States,2,Louisville
6,5,Jermaine Jackson,PG,6-4,204,"June 7, 1976",United States,4,Detroit Mercy
7,40,Ervin Johnson,C,6-11,245,"December 21, 1967",United States,12,New Orleans
8,7,Toni Kukoc,PF,6-10,192,"September 18, 1968",Croatia,12,
9,20,Jamaal Magloire,C,6-11,259,"May 21, 1978",Canada,5,Kentucky
10,22,Michael Redd,SG,6-6,220,"August 24, 1979",United States,5,Ohio State
11,21,Bobby Simmons,SF,6-7,210,"June 2, 1980",United States,4,DePaul
12,8,Joe Smith,PF,6-10,225,"July 26, 1975",United States,10,Maryland
13,44,Jiri Welsch,SF,6-7,208,"January 27, 1980",Czechia,3,
14,25,Mo Williams,PG,6-1,198,"December 19, 1982",United States,2,Alabama
