StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,10,9,10,9,1.37,0.63,2.0,113.2,111.8,98.0,0.221,0.44,0.54,12.5,24.0,0.176,0.55,12.5,79.7,0.16,Moda Center,172723
Lg Rank,10,12,13,14,13.0,10.0,9.0,3.0,27.0,17.0,18.0,6.0,5.0,12.0,9.0,17.0,28.0,18.0,3.0,8.0,,9
