,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,77.0,Luka Doncic,PG,6-7,230,"February 28, 1999",si,3,
1,13.0,Jalen Brunson,PG,6-1,190,"August 31, 1996",us,3,Villanova
2,11.0,Tim Hardaway Jr,SG,6-5,205,"March 16, 1992",us,8,Michigan
3,6.0,Kristaps Porzingis,C,7-3,240,"August 2, 1995",lv,5,
4,3.0,Trey Burke,PG,6-0,185,"November 12, 1992",us,8,Michigan
5,10.0,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,5,Florida
6,7.0,Dwight Powell,C,6-10,240,"July 20, 1991",ca,7,Stanford
7,0.0,Sterling Brown,SG,6-5,219,"February 10, 1995",us,4,SMU
8,42.0,Maxi Kleber,PF,6-10,240,"January 29, 1992",de,4,
9,25.0,Reggie Bullock,SF,6-6,205,"March 16, 1991",us,8,UNC
10,8.0,Josh Green,SG,6-5,200,"November 16, 2000",au,1,Arizona
11,33.0,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us,6,Kentucky
12,21.0,Frank Ntilikina,PG,6-4,200,"July 28, 1998",be,4,
13,,Boban Marjanovic,C,7-4,290,"August 15, 1988",rs,6,
14,,Eugene Omoruyi (TW),F,6-7,244,"February 14, 1997",ng,R,"Rutgers University, Oregon"
15,,JaQuori McLaughlin (TW),G,6-4,190,"January 29, 1998",us,R,"Oregon State, UC Santa Barbara"
16,,Moses Brown,C,7-2,245,"October 13, 1999",us,2,UCLA
