StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,10,4,9,5,5.0,-1.53,3.47,109.1,104.1,99.4,0.236,0.421,0.553,14.1,16.5,0.188,0.484,11.3,78.0,0.157,Barclays Center,96920
Lg Rank,2,24,2,9,7.0,26.0,8.0,14.0,5.0,10.0,9.0,10.0,2.0,24.0,30.0,7.0,2.0,28.0,13.0,7.0,,20
