,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,6,Marquis Daniels,SG,6-6,200,"January 7, 1981",United States,4,Auburn
1,12,Travis Diener,PG,6-1,175,"March 1, 1982",United States,2,Marquette
2,1,Ike Diogu,PF,6-8,250,"September 11, 1983",United States,2,Arizona State
3,17,Mike Dunleavy,SG,6-9,230,"September 15, 1980",United States,5,Duke
4,10,Jeff Foster,C,6-11,236,"January 16, 1977",United States,8,Texas State University
5,23,Stephen Graham,SF,6-6,215,"June 11, 1982",United States,2,"Central Florida, Oklahoma State"
6,33,Danny Granger,SF,6-9,222,"April 20, 1983",United States,2,"Bradley, New Mexico"
7,13,David Harrison,C,7-0,280,"August 15, 1982",United States,3,Colorado
8,3,Troy Murphy,PF,6-11,245,"May 2, 1980",United States,6,Notre Dame
9,22,Ronald Murray,PG,6-4,190,"July 29, 1979",United States,5,"Meridian Community College, Shaw"
10,7,Jermaine O'Neal,C,6-11,226,"October 13, 1978",United States,11,
11,20,Andre Owens,PG,6-4,200,"October 31, 1980",United States,1,"Indiana, Houston"
12,21,Kareem Rush,SG,6-6,215,"October 30, 1980",United States,4,Missouri
13,44,Courtney Sims,C,6-10,245,"October 21, 1983",United States,R,Michigan
14,11,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",United States,6,Iowa State
15,4,Shawne Williams,SF,6-9,225,"February 16, 1986",United States,1,Memphis
