,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,9,JR Bremer,PG,6-2,185,"September 19, 1980",United States,1,St. Bonaventure
1,35,Brian Cardinal,PF,6-8,245,"May 2, 1977",United States,3,Purdue
2,40,Calbert Cheaney,SF,6-7,209,"July 17, 1971",United States,10,Indiana
3,10,Speedy Claxton,PG,5-11,166,"May 8, 1978",United States,2,Hofstra
4,25,Erick Dampier,C,6-11,265,"July 14, 1975",United States,7,Mississippi State
5,34,Mike Dunleavy,SF,6-9,230,"September 15, 1980",United States,1,Duke
6,31,Adonal Foyle,C,6-10,250,"March 9, 1975",St. Vincent & Grenadines,6,Colgate
7,6,Avery Johnson,PG,5-10,175,"March 25, 1965",United States,15,"Cameron University, Southern University and A&M College"
8,54,Popeye Jones,PF,6-8,250,"June 17, 1970",United States,10,Murray State
9,21,Sean Lampley,SF,6-7,227,"September 3, 1979",United States,1,California
10,7,Dan Langhi,SF,6-11,220,"November 28, 1977",United States,3,Vanderbilt
11,5,Rusty LaRue,PG,6-2,210,"December 10, 1973",United States,4,Wake Forest
12,1,Troy Murphy,PF,6-11,245,"May 2, 1980",United States,2,Notre Dame
13,44,Cherokee Parks,C,6-11,235,"October 11, 1972",United States,8,Duke
14,2,Mickael Pietrus,PG,6-6,215,"February 7, 1982",Guadeloupe,R,
15,23,Jason Richardson,SG,6-6,220,"January 20, 1981",United States,2,Michigan State
16,3,Clifford Robinson,PF,6-10,225,"December 16, 1966",United States,14,UConn
17,37,Nick Van Exel,PG,6-1,170,"November 27, 1971",United States,10,"Trinity Valley CC, Cincinnati"
