Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,22.0,ORL,NBA,PF,45,19,25.2,3.0,7.2,0.417,1.1,3.1,0.348,1.9,4.1,0.47,0.492,0.7,0.9,0.75,0.9,3.1,4.0,2.2,1.1,0.5,0.8,1.1,7.8
2021-22,23.0,ORL,NBA,PF,12,0,20.7,2.9,6.9,0.422,0.8,3.3,0.25,2.1,3.6,0.581,0.482,1.3,1.4,0.941,0.7,3.0,3.7,1.2,0.7,0.2,0.8,1.3,8.0
Career,,,NBA,,57,19,24.2,3.0,7.1,0.418,1.0,3.2,0.326,1.9,4.0,0.491,0.49,0.8,1.0,0.807,0.9,3.1,3.9,2.0,1.0,0.4,0.8,1.1,7.8
