,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,26,John Amaechi,C,6-10,270,"November 26, 1970",United States,4,"Vanderbilt, Penn State"
1,30,Carlos Arroyo,PG,6-2,202,"July 30, 1979",Puerto Rico,1,Florida International University
2,40,Calbert Cheaney,SG,6-7,209,"July 17, 1971",United States,9,Indiana
3,31,Jarron Collins,C,6-11,255,"December 2, 1978",United States,1,Stanford
4,15,Matt Harpring,SF,6-7,231,"May 31, 1976",United States,4,Georgia Tech
5,13,Mark Jackson,PG,6-1,180,"April 1, 1965",United States,15,St. John's
6,47,Andrei Kirilenko,SF,6-9,220,"February 18, 1981",Russia,1,
7,32,Karl Malone,PF,6-9,250,"July 24, 1963",United States,17,Louisiana Tech
8,44,Tony Massenburg,C,6-9,220,"July 31, 1967",United States,10,Maryland
9,0,Greg Ostertag,C,7-2,280,"March 6, 1973",United States,7,Kansas
10,34,Scott Padgett,PF,6-9,240,"April 19, 1976",United States,3,Kentucky
11,2,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",United States,2,
12,12,John Stockton,PG,6-1,170,"March 26, 1962",United States,18,Gonzaga
