,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,9,Andrea Bargnani,C,7-0,245,"October 26, 1985",Italy,9,
1,44,Bojan Bogdanovic,SF,6-7,226,"April 18, 1989",Bosnia & Herzegovina,1,
2,22,Markel Brown,SG,6-3,190,"January 29, 1992",United States,1,Oklahoma State
3,21,Wayne Ellington,SG,6-4,207,"November 29, 1987",United States,6,UNC
4,24,Rondae Hollis-Jefferson,SF,6-6,217,"January 3, 1995",United States,R,Arizona
5,2,Jarrett Jack,PG,6-3,200,"October 28, 1983",United States,10,Georgia Tech
6,7,Joe Johnson,SF,6-7,240,"June 29, 1981",United States,14,Arkansas
7,10,Sergey Karasev,SF,6-7,208,"October 26, 1993",Russia,2,
8,6,Sean Kilpatrick,SG,6-4,210,"January 6, 1990",United States,1,Cincinnati
9,0,Shane Larkin,PG,5-11,175,"October 2, 1992",United States,2,Miami (FL)
10,11,Brook Lopez,C,7-0,282,"April 1, 1988",United States,7,Stanford
11,1,Chris McCullough,PF,6-11,200,"February 5, 1995",United States,R,Syracuse
12,33,Willie Reed,C,6-10,220,"May 16, 1990",United States,R,Saint Louis
13,41,Thomas Robinson,PF,6-10,237,"March 17, 1991",United States,3,Kansas
14,14,Henry Sims,C,6-10,248,"March 27, 1990",United States,3,Georgetown
15,15,Donald Sloan,PG,6-3,205,"January 15, 1988",United States,4,Texas A&M
16,30,Thaddeus Young,PF,6-8,235,"June 21, 1988",United States,8,Georgia Tech
