No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Mike Muscala,F-C,6-10,240,"July 1, 1991",us,8,Bucknell
,Derrick Favors,F-C,6-9,265,"July 15, 1991",us,11,Georgia Tech
,Shai Gilgeous-Alexander,G,6-6,180,"July 12, 1998",ca,3,Kentucky
,Jeremiah Robinson-Earl,F,6-9,230,"November 3, 2000",us,R,Villanova
,Aleksej Pokusevski,F,7-0,190,"December 26, 2001",rs,1,
,Darius Bazley,F,6-8,208,"June 12, 2000",us,2,
,Aaron Wiggins (TW),G,6-6,200,"January 2, 1999",us,R,Maryland
,Théo Maledon,G,6-4,175,"June 12, 2001",fr,1,
,Ty Jerome,G,6-5,195,"July 8, 1997",us,2,Virginia
,Vit Krejci,G,6-8,195,"June 19, 2000",cz,R,
,Gabriel Deck,F,6-8,232,"February 8, 1995",ar,1,
,Isaiah Roby,F,6-8,230,"February 3, 1998",us,2,Nebraska
,Tre Mann,G,6-5,190,"February 3, 2001",us,R,Florida
,Luguentz Dort,G,6-3,215,"April 19, 1999",ca,2,Arizona State
,Josh Giddey,G,6-8,210,"October 10, 2002",au,R,
,Kenrich Williams,G-F,6-6,210,"December 2, 1994",us,3,TCU
