StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,12.0,2930,496,1142,0.434,149,450,0.331,347,692,0.501,160,211,0.758,161,419,580,298,122,71,175,215,1301
Team/G,,244.2,41.3,95.2,0.434,12.4,37.5,0.331,28.9,57.7,0.501,13.3,17.6,0.758,13.4,34.9,48.3,24.8,10.2,5.9,14.6,17.9,108.4
Lg Rank,,15,7,1,24.0,15,11,21.0,11,8,22.0,27,26,18.0,1,23,2,6,3,6,16,7,16
Year/Year,,1.0%,-3.5%,3.7%,-0.033,11.3%,19.6%,-0.025,-8.8%,-4.6%,-0.023,-18.9%,-17.6%,-0.013,20.3%,-1.1%,4.0%,-7.7%,11.8%,17.0%,9.7%,-4.4%,-4.3%
Opponent,12.0,2930,518,1082,0.479,170,428,0.397,348,654,0.532,169,216,0.782,111,428,539,340,105,75,178,210,1375
Opponent/G,,244.2,43.2,90.2,0.479,14.2,35.7,0.397,29.0,54.5,0.532,14.1,18.0,0.782,9.3,35.7,44.9,28.3,8.8,6.3,14.8,17.5,114.6
Lg Rank,,15,30,18,29.0,29,14,29.0,24,20,22.0,8,5,19.0,9,17,11,30,25,29,15,28,29
Year/Year,,1.0%,5.2%,1.6%,0.016,10.2%,1.7%,0.031,3.0%,1.6%,0.007,-18.9%,-18.4%,-0.005,-5.4%,2.1%,0.5%,11.7%,14.1%,19.4%,0.0%,-4.4%,2.1%
