,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,36,Omri Casspi,SF,6-9,225,"June 22, 1988",Israel,2,
1,9,Semih Erden,C,7-0,240,"July 28, 1986",Turkey,1,
2,8,Christian Eyenga,SF,6-5,210,"June 22, 1989",Congo - Kinshasa,1,
3,33,Alonzo Gee,SG,6-6,225,"May 29, 1987",United States,2,Alabama
4,1,Daniel Gibson,SG,6-2,190,"February 27, 1986",United States,5,Texas
5,44,Luke Harangody,PF,6-8,246,"January 2, 1988",United States,1,Notre Dame
6,6,Manny Harris,SG,6-5,185,"September 21, 1989",United States,1,Michigan
7,5,Ryan Hollins,C,7-0,240,"October 10, 1984",United States,5,UCLA
8,14,Lester Hudson,PG,6-3,190,"August 7, 1984",United States,2,University of Tennessee at Martin
9,2,Kyrie Irving,PG,6-2,195,"March 23, 1992",Australia,R,Duke
10,4,Antawn Jamison,PF,6-8,223,"June 12, 1976",United States,13,UNC
11,12,DJ Kennedy,SF,6-6,215,"November 5, 1989",United States,R,St. John's
12,18,Anthony Parker,SF,6-6,215,"June 19, 1975",United States,8,Bradley
13,24,Samardo Samuels,C,6-9,260,"January 9, 1989",Jamaica,1,Louisville
14,3,Ramon Sessions,PG,6-3,190,"April 11, 1986",United States,4,Nevada
15,15,Donald Sloan,PG,6-3,205,"January 15, 1988",United States,R,Texas A&M
16,21,Mychel Thompson,SG,6-6,211,"June 1, 1988",United States,R,Pepperdine
17,13,Tristan Thompson,PF,6-9,254,"March 13, 1991",Canada,R,Texas
18,6,Ben Uzoh,PG,6-3,205,"March 19, 1988",United States,1,Tulsa
19,17,Anderson Varejao,C,6-10,273,"September 28, 1982",Brazil,7,
20,32,Luke Walton,PF,6-8,235,"March 28, 1980",United States,8,Arizona
