,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,8,Kobe Bryant,SG,6-6,212,"August 23, 1978",United States,6,
1,2,Derek Fisher,PG,6-1,200,"August 9, 1974",United States,6,Little Rock
2,17,Rick Fox,SF,6-7,230,"July 24, 1969",Canada,11,UNC
3,3,Devean George,SF,6-8,220,"August 29, 1977",United States,3,Augsburg College
4,5,Robert Horry,PF,6-10,240,"August 25, 1970",United States,10,Alabama
5,35,Mark Madsen,PF,6-9,240,"January 28, 1976",United States,2,Stanford
6,14,Stanislav Medvedenko,PF,6-10,250,"April 4, 1979",Ukraine,2,
7,30,Tracy Murray,SF,6-7,225,"July 25, 1971",United States,10,UCLA
8,34,Shaquille O'Neal,C,7-1,325,"March 6, 1972",United States,10,LSU
9,12,Jannero Pargo,PG,6-1,175,"October 22, 1979",United States,R,Arkansas
10,21,Kareem Rush,PG,6-6,215,"October 30, 1980",United States,R,Missouri
11,0,Soumaila Samake,C,7-0,230,"March 18, 1978",Mali,1,
12,20,Brian Shaw,PG,6-6,190,"March 22, 1966",United States,13,"Saint Mary's, UC Santa Barbara"
13,52,Samaki Walker,C,6-9,240,"February 25, 1976",United States,6,Louisville
