,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Rafer Alston,PG,6-2,171,"July 24, 1976",United States,9,Fresno State
1,4,Tony Battie,PF,6-11,230,"February 11, 1976",United States,10,Texas Tech
2,10,Keith Bogans,SG,6-5,215,"May 12, 1980",United States,5,Kentucky
3,34,Brian Cook,PF,6-9,234,"December 4, 1980",United States,5,Illinois
4,31,Adonal Foyle,C,6-10,250,"March 9, 1975",St. Vincent & Grenadines,11,Colgate
5,13,Marcin Gortat,PF,6-11,240,"February 17, 1984",Poland,1,
6,12,Dwight Howard,C,6-10,265,"December 8, 1985",United States,4,
7,8,Anthony Johnson,PG,6-3,190,"October 2, 1974",United States,11,College of Charleston
8,11,Courtney Lee,SG,6-5,215,"October 3, 1985",United States,R,Western Kentucky
9,9,Rashard Lewis,PF,6-10,215,"August 8, 1979",United States,10,
10,10,Tyronn Lue,PG,6-0,175,"May 3, 1977",United States,10,Nebraska
11,14,Jameer Nelson,PG,6-0,190,"February 9, 1982",United States,4,Saint Joseph's
12,20,Mickael Pietrus,SG,6-6,215,"February 7, 1982",Guadeloupe,5,
13,7,JJ Redick,SG,6-3,200,"June 24, 1984",United States,2,Duke
14,32,Jeremy Richardson,SF,6-6,185,"February 11, 1984",United States,2,Delta State University
15,15,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",Turkey,8,
