,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19755,2911,6366,0.457,556,1526,0.364,2355,4840,0.487,1479,1833,0.807,802,2453,3255,1609,593,338,1029,1665,7857
1,Team/G,,240.9,35.5,77.6,0.457,6.8,18.6,0.364,28.7,59.0,0.487,18.0,22.4,0.807,9.8,29.9,39.7,19.6,7.2,4.1,12.5,20.3,95.8
2,Lg Rank,,24,28,27,14.0,13,14,17.0,26,25,13.0,25,29,3.0,28,16,26,28,15,26,4,11,26
3,Year/Year,,-0.3%,-8.0%,-6.3%,-0.008,-11.7%,-5.9%,-0.024,-7.1%,-6.5%,-0.003,12.7%,7.4%,0.038,-14.4%,-1.6%,-5.1%,-9.9%,-6.9%,5.3%,5.6%,8.8%,-5.0%
4,Opponent,82.0,19755,2851,6329,0.45,575,1625,0.354,2276,4704,0.484,1453,1879,0.773,822,2459,3281,1649,476,290,1089,1675,7730
5,Opponent/G,,240.9,34.8,77.2,0.45,7.0,19.8,0.354,27.8,57.4,0.484,17.7,22.9,0.773,10.0,30.0,40.0,20.1,5.8,3.5,13.3,20.4,94.3
6,Lg Rank,,24,3,3,7.0,20,24,8.0,2,1,15.0,8,7,19.0,4,13,8,11,2,1,23,19,5
7,Year/Year,,-0.3%,-6.2%,-4.2%,-0.01,5.7%,4.7%,0.003,-8.7%,-6.9%,-0.01,19.4%,19.0%,0.003,0.9%,-2.9%,-2.0%,-7.3%,1.3%,-12.4%,-4.1%,6.5%,-1.4%
