,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,6,Jaylen Adams,PG,6-0,225,"May 4, 1996",United States,2,St. Bonaventure
1,34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",Greece,7,
2,43,Thanasis Antetokounmpo,SF,6-6,219,"July 18, 1992",Greece,2,
3,12,DJ Augustin,PG,5-11,183,"November 10, 1987",United States,12,Texas
4,3,Elijah Bryant,SG,6-5,210,"April 19, 1995",United States,R,"Elon University, BYU"
5,24,Pat Connaughton,SG,6-5,209,"January 6, 1993",United States,5,Notre Dame
6,3,Torrey Craig,SF,6-7,221,"December 19, 1990",United States,3,USC Upstate
7,25,Mamadi Diakite,PF,6-9,228,"January 21, 1997",Guinea,R,Virginia
8,0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",United States,2,Villanova
9,7,Bryn Forbes,SG,6-2,205,"July 23, 1993",United States,4,Michigan State
10,21,Jrue Holiday,PG,6-3,205,"June 12, 1990",United States,11,UCLA
11,44,Justin Jackson,SF,6-8,220,"March 28, 1995",United States,3,UNC
12,0,Rodions Kurucs,SF,6-9,228,"February 5, 1998",Latvia,2,
13,11,Brook Lopez,C,7-0,282,"April 1, 1988",United States,12,Stanford
14,15,Sam Merrill,SG,6-4,205,"May 15, 1996",United States,R,Utah State University
15,22,Khris Middleton,SF,6-7,222,"August 12, 1991",United States,8,Texas A&M
16,13,Jordan Nwora,SF,6-8,225,"September 9, 1998",United States,R,Louisville
17,9,Bobby Portis,C,6-10,250,"February 10, 1995",United States,5,Arkansas
18,5,Jeff Teague,PG,6-3,195,"June 10, 1988",United States,11,Wake Forest
19,66,Axel Toupane,SF,6-7,197,"July 23, 1992",France,2,
20,17,PJ Tucker,PF,6-5,245,"May 5, 1985",United States,9,Texas
21,5,DJ Wilson,PF,6-10,231,"February 19, 1996",United States,3,Michigan
