,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Chauncey Billups,PG,6-3,202,"September 25, 1976",United States,9,Colorado
1,8,Will Blalock,PG,6-0,205,"September 8, 1983",United States,R,Iowa State
2,34,Dale Davis,C,6-11,230,"March 25, 1969",United States,15,Clemson
3,20,Carlos Delfino,SG,6-6,230,"August 29, 1982",Argentina,2,
4,12,Ronald Dupree,SF,6-7,209,"January 26, 1981",United States,3,LSU
5,32,Richard Hamilton,SG,6-6,185,"February 14, 1978",United States,7,UConn
6,10,Lindsey Hunter,PG,6-2,170,"December 3, 1970",United States,13,"Alcorn State, Jackson State University"
7,25,Amir Johnson,PF,6-9,240,"May 1, 1987",United States,1,
8,54,Jason Maxiell,C,6-7,260,"February 18, 1983",United States,1,Cincinnati
9,24,Antonio McDyess,PF,6-9,220,"September 7, 1974",United States,10,Alabama
10,13,Nazr Mohammed,C,6-10,221,"September 5, 1977",United States,8,Kentucky
11,6,Ronald Murray,SG,6-4,190,"July 29, 1979",United States,4,"Meridian Community College, Shaw"
12,22,Tayshaun Prince,SF,6-9,212,"February 28, 1980",United States,4,Kentucky
13,36,Rasheed Wallace,C,6-10,225,"September 17, 1974",United States,11,UNC
14,84,Chris Webber,PF,6-9,245,"March 1, 1973",United States,13,Michigan
