StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,7,4,7,4,4.64,1.1,5.73,107.4,102.8,100.9,0.21,0.434,0.525,12.3,18.8,0.163,0.495,14.9,75.0,0.152,STAPLES Center,105480
Lg Rank,11,22,11,4,5.0,7.0,4.0,18.0,3.0,8.0,20.0,8.0,11.0,9.0,28.0,19.0,5.0,4.0,25.0,5.0,,10
