StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,9,1,9,1,13.7,-3.47,10.23,111.9,98.6,101.9,0.211,0.478,0.563,14.0,20.2,0.166,0.492,14.6,82.9,0.167,Chase Center,126448
Lg Rank,1,30,1,1,1.0,30.0,1.0,5.0,1.0,4.0,21.0,3.0,1.0,21.0,24.0,18.0,5.0,8.0,1.0,12.0,,3
