,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,34,48,29,53,-4.0,-0.08,-4.08,103.4,107.8,89.6,0.314,0.189,0.482,14.1,25.7,0.237,0.5,12.9,75.2,0.229,Time Warner Cable Arena,649694
1,Lg Rank,22,9,24,24,24.0,19.0,24.0,26.0,17.0,26.0,6.0,23.0,25.0,25.0,18.0,7.0,14.0,20.0,6.0,15.0,,21
