StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,12.0,2880,445,1015,0.438,137,415,0.33,308,600,0.513,207,300,0.69,115,426,541,245,97,54,227,243,1234
Team/G,,240.0,37.1,84.6,0.438,11.4,34.6,0.33,25.7,50.0,0.513,17.3,25.0,0.69,9.6,35.5,45.1,20.4,8.1,4.5,18.9,20.3,102.8
Lg Rank,,19,27,29,22.0,18,20,23.0,24,22,18.0,5,1,30.0,21,14,19,28,15,22,30,25,25
Year/Year,,-0.1%,-5.5%,-4.4%,-0.005,-17.1%,-14.8%,-0.009,0.8%,4.4%,-0.018,4.5%,12.1%,-0.05,2.8%,6.7%,5.8%,-13.5%,6.6%,-10.2%,28.5%,3.6%,-5.5%
Opponent,12.0,2880,486,1082,0.449,153,474,0.323,333,608,0.548,203,264,0.769,129,426,555,290,129,72,183,274,1328
Opponent/G,,240.0,40.5,90.2,0.449,12.8,39.5,0.323,27.8,50.7,0.548,16.9,22.0,0.769,10.8,35.5,46.3,24.2,10.8,6.0,15.3,22.8,110.7
Lg Rank,,19,20,18,19.0,21,25,7.0,15,7,27.0,26,27,16.0,20,15,17,20,30,25,12,1,24
Year/Year,,-0.1%,-5.2%,1.3%,-0.03,-5.0%,12.3%,-0.059,-5.3%,-6.0%,0.004,-5.3%,-3.5%,-0.014,8.6%,-5.8%,-2.8%,-6.2%,26.7%,14.3%,4.1%,18.4%,-5.2%
