StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,11,6,10,7,2.12,0.75,2.86,107.4,105.3,96.7,0.238,0.378,0.516,13.0,20.9,0.19,0.487,10.8,78.8,0.186,Capital One Arena,141248
Lg Rank,5,24,12,8,9.0,9.0,8.0,19.0,5.0,26.0,8.0,22.0,18.0,17.0,22.0,7.0,1.0,30.0,7.0,22.0,,17
