,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,17,Lou Amundson,PF,6-9,220,"December 7, 1982",United States,6,UNLV
1,8,Marco Belinelli,SG,6-5,220,"March 25, 1986",Italy,5,
2,5,Carlos Boozer,PF,6-9,258,"November 20, 1981",Germany,10,Duke
3,21,Jimmy Butler,SF,6-7,230,"September 14, 1989",United States,1,Marquette
4,14,Daequan Cook,SG,6-5,205,"April 28, 1987",United States,5,Ohio State
5,9,Luol Deng,SF,6-9,237,"April 16, 1985",South Sudan,8,Duke
6,22,Taj Gibson,PF,6-9,232,"June 24, 1985",United States,3,USC
7,32,Richard Hamilton,SG,6-6,185,"February 14, 1978",United States,13,UConn
8,12,Kirk Hinrich,PG,6-4,190,"January 2, 1981",United States,9,Kansas
9,48,Nazr Mohammed,C,6-10,221,"September 5, 1977",United States,14,Kentucky
10,13,Joakim Noah,C,6-11,230,"February 25, 1985",United States,5,Florida
11,77,Vladimir Radmanovic,PF,6-10,227,"November 19, 1980",Bosnia & Herzegovina,11,
12,2,Nate Robinson,PG,5-9,180,"May 31, 1984",United States,7,Washington
13,25,Marquis Teague,PG,6-2,189,"February 28, 1993",United States,R,Kentucky
14,3,Malcolm Thomas,PF,6-9,225,"November 8, 1988",United States,1,"Pepperdine, San Diego State"
