,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,46,36,43,39,0.72,-0.55,0.17,103.7,103.0,93.7,0.259,0.203,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21,Verizon Center,747796
1,Lg Rank,12,19,14,14,14.0,27.0,15.0,22.0,5.0,18.0,22.0,28.0,14.0,23.0,15.0,23.0,5.0,19.0,3.0,18.0,,13
