,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,35,Malik Allen,PF,6-10,255,"June 27, 1978",United States,2,Villanova
1,11,Rafer Alston,PG,6-2,171,"July 24, 1976",United States,4,Fresno State
2,24,Jerome Beasley,PF,6-10,237,"May 17, 1980",United States,R,"Midland College, University of North Dakota"
3,4,Caron Butler,SF,6-7,228,"March 13, 1980",United States,1,UConn
4,45,Rasual Butler,SF,6-7,215,"May 23, 1979",United States,1,La Salle
5,12,Bimbo Coles,PG,6-1,180,"April 22, 1968",United States,13,Virginia Tech
6,44,Brian Grant,C,6-9,254,"March 5, 1972",United States,9,Xavier
7,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",United States,R,Florida
8,32,Tyrone Hill,PF,6-9,240,"March 19, 1968",United States,13,Xavier
9,6,Eddie Jones,SG,6-6,190,"October 20, 1971",United States,9,Temple
10,7,Lamar Odom,PF,6-10,220,"November 6, 1979",United States,4,Rhode Island
11,20,Kirk Penney,SG,6-5,220,"November 23, 1980",New Zealand,R,Wisconsin
12,3,Dwyane Wade,PG,6-4,220,"January 17, 1982",United States,R,Marquette
13,52,Samaki Walker,PF,6-9,240,"February 25, 1976",United States,7,Louisville
14,22,John Wallace,SF,6-8,225,"February 9, 1974",United States,6,Syracuse
15,1,Loren Woods,C,7-1,245,"June 21, 1978",United States,2,"Wake Forest, Arizona"
16,15,Wang Zhizhi,C,7-0,255,"July 8, 1977",China,3,
