Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,20.0,LAC,NBA,SG,4,1,21.0,3.5,9.0,0.389,0.5,2.3,0.222,3.0,6.8,0.444,0.417,1.3,1.3,1.0,0.5,3.0,3.5,0.3,1.0,0.0,1.8,1.3,8.8
2021-22,21.0,LAC,NBA,SG,3,0,7.0,2.0,3.7,0.545,0.7,1.3,0.5,1.3,2.3,0.571,0.636,0.3,0.7,0.5,0.0,0.7,0.7,0.7,0.0,0.3,0.0,1.0,5.0
Career,,,NBA,,7,1,15.0,2.9,6.7,0.426,0.6,1.9,0.308,2.3,4.9,0.471,0.468,0.9,1.0,0.857,0.3,2.0,2.3,0.4,0.6,0.1,1.0,1.1,7.1
