No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Dwight Howard,C,6-10,265,"December 8, 1985",us,17,
,Kent Bazemore,G-F,6-4,195,"July 1, 1989",us,9,Old Dominion
,Russell Westbrook,G,6-3,200,"November 12, 1988",us,13,UCLA
,Rajon Rondo,G,6-1,180,"February 22, 1986",us,15,Kentucky
,Talen Horton-Tucker,G-F,6-4,234,"November 25, 2000",us,2,Iowa State
,LeBron James,F-G,6-9,250,"December 30, 1984",us,18,
,DeAndre Jordan,C,6-11,265,"July 21, 1988",us,13,Texas A&M
,Malik Monk,G,6-3,200,"February 4, 1998",us,4,Kentucky
,Anthony Davis,F-C,6-10,253,"March 11, 1993",us,9,Kentucky
,Kendrick Nunn,G,6-2,190,"August 3, 1995",us,2,"Illinois, Oakland"
,Joel Ayayi (TW),G,6-5,180,"March 5, 2000",fr,R,Gonzaga
,Trevor Ariza,F,6-8,215,"June 30, 1985",us,17,UCLA
,Austin Reaves (TW),G,6-5,206,"May 29, 1998",us,R,"Wichita State, Oklahoma"
,Wayne Ellington,G,6-4,207,"November 29, 1987",us,12,UNC
,Carmelo Anthony,F,6-7,238,"May 29, 1984",us,18,Syracuse
