,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,OWS,DWS,WS,WS/48
0,1968-69,23.0,SDR,NBA,SF,22,126,2.4,0.308,0.203,,,,5.0,-0.5,0.1,-0.4,-0.154
1,Career,,,NBA,,22,126,2.4,0.308,0.203,,,,5.0,-0.5,0.1,-0.4,-0.154
