,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,20,Joe Alexander,SF,6-8,230,"December 26, 1986",Taiwan,1,West Virginia
1,32,Devin Brown,SG,6-5,220,"December 30, 1978",United States,7,Texas-San Antonio
2,9,Luol Deng,SF,6-9,237,"April 16, 1985",South Sudan,5,Duke
3,22,Taj Gibson,PF,6-9,232,"June 24, 1985",United States,R,USC
4,34,Aaron Gray,C,7-0,270,"December 7, 1984",United States,2,Pitt
5,12,Kirk Hinrich,SG,6-4,190,"January 2, 1981",United States,6,Kansas
6,11,Lindsey Hunter,PG,6-2,170,"December 3, 1970",United States,16,"Alcorn State, Jackson State University"
7,16,James Johnson,PF,6-7,240,"February 20, 1987",United States,R,Wake Forest
8,0,Acie Law,PG,6-3,195,"January 25, 1985",United States,2,Texas A&M
9,52,Brad Miller,C,6-11,244,"April 12, 1976",United States,11,Purdue
10,6,Ronald Murray,SG,6-4,190,"July 29, 1979",United States,7,"Meridian Community College, Shaw"
11,13,Joakim Noah,C,6-11,230,"February 25, 1985",United States,2,Florida
12,2,Jannero Pargo,PG,6-1,175,"October 22, 1979",United States,6,Arkansas
13,35,Chris Richard,PF,6-9,270,"December 25, 1984",United States,1,Florida
14,1,Derrick Rose,PG,6-2,200,"October 4, 1988",United States,1,Memphis
15,15,John Salmons,SG,6-7,210,"December 12, 1979",United States,7,Miami (FL)
16,24,Tyrus Thomas,PF,6-9,215,"August 17, 1986",United States,3,LSU
17,21,Hakim Warrick,PF,6-9,219,"July 8, 1982",United States,4,Syracuse
