Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,19.0,MEM,NBA,PF,58,56,26.1,5.1,10.2,0.506,0.9,2.4,0.359,4.3,7.7,0.553,0.549,2.6,3.4,0.766,1.3,3.4,4.7,1.1,0.9,1.4,1.7,3.8,13.8
2019-20,20.0,MEM,NBA,C,57,57,28.5,6.2,13.2,0.469,2.5,6.5,0.394,3.6,6.8,0.54,0.565,2.4,3.3,0.747,1.0,3.6,4.6,1.4,0.7,1.6,1.7,4.1,17.4
2020-21,21.0,MEM,NBA,C,11,4,23.5,4.8,11.4,0.424,1.5,5.5,0.283,3.3,5.9,0.554,0.492,3.2,3.8,0.833,1.5,4.1,5.6,1.1,1.1,1.6,1.4,3.8,14.4
2021-22,22.0,MEM,NBA,PF,10,10,26.9,4.4,12.2,0.361,2.3,6.6,0.348,2.1,5.6,0.375,0.455,2.5,2.6,0.962,1.1,4.9,6.0,1.2,0.8,1.9,1.9,3.6,13.6
Career,,,NBA,,136,127,26.9,5.5,11.7,0.471,1.7,4.7,0.371,3.8,7.0,0.537,0.545,2.6,3.3,0.776,1.1,3.7,4.8,1.2,0.8,1.6,1.7,3.9,15.3
