StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,9,10,10,9,0.63,0.67,1.3,111.2,110.6,96.1,0.212,0.354,0.504,11.5,29.3,0.165,0.547,15.5,76.5,0.195,,158400
Lg Rank,18,9,15,18,16.0,9.0,13.0,7.0,23.0,28.0,22.0,27.0,24.0,4.0,1.0,20.0,27.0,2.0,22.0,27.0,,13
