,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19830,2856,6450,0.443,498,1430,0.348,2358,5020,0.47,1647,2237,0.736,913,2520,3433,1925,521,390,1229,1855,7857
1,Team/G,,241.8,34.8,78.7,0.443,6.1,17.4,0.348,28.8,61.2,0.47,20.1,27.3,0.736,11.1,30.7,41.9,23.5,6.4,4.8,15.0,22.6,95.8
2,Lg Rank,,9,28,25,26.0,18,17,23.0,26,22,23.0,10,6,20.0,16,13,15,6,24,16,25,25,25
3,Year/Year,,-0.3%,-2.0%,1.1%,-0.014,-18.2%,-14.7%,-0.015,2.3%,6.7%,-0.02,5.2%,3.9%,0.009,11.1%,-0.2%,2.6%,-1.9%,4.4%,42.9%,1.4%,-0.7%,-1.8%
4,Opponent,82.0,19830,2982,6543,0.456,534,1448,0.369,2448,5095,0.48,1774,2311,0.768,896,2517,3413,1810,662,362,1098,1836,8272
5,Opponent/G,,241.8,36.4,79.8,0.456,6.5,17.7,0.369,29.9,62.1,0.48,21.6,28.2,0.768,10.9,30.7,41.6,22.1,8.1,4.4,13.4,22.4,100.9
6,Lg Rank,,9,8,10,12.0,14,11,24.0,11,13,12.0,27,27,25.0,11,14,13,17,27,11,21,7,17
7,Year/Year,,-0.3%,2.4%,1.0%,0.006,2.9%,-0.5%,0.012,2.3%,1.5%,0.004,3.0%,2.2%,0.005,3.3%,-0.4%,0.6%,0.3%,13.4%,-1.9%,-7.6%,-2.7%,2.6%
