,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19755,2729,6417,0.425,485,1357,0.357,2244,5060,0.443,1459,1915,0.762,940,2459,3399,1565,590,313,1137,1812,7402
1,Team/G,,240.9,33.3,78.3,0.425,5.9,16.5,0.357,27.4,61.7,0.443,17.8,23.4,0.762,11.5,30.0,41.5,19.1,7.2,3.8,13.9,22.1,90.3
2,Lg Rank,,23,26,21,25.0,7,7,7.0,25,23,26.0,18,19,12.0,21,15,20,28,22,28,6,21,22
3,Year/Year,,-0.4%,1.5%,-1.5%,0.013,39.4%,23.4%,0.041,-4.1%,-6.6%,0.012,12.9%,13.4%,-0.003,-0.8%,-0.2%,-0.4%,4.3%,-0.3%,-3.4%,-2.6%,-2.4%,5.5%
4,Opponent,82.0,19755,2658,6205,0.428,431,1256,0.343,2227,4949,0.45,1612,2100,0.768,892,2486,3378,1526,578,439,1207,1729,7359
5,Opponent/G,,240.9,32.4,75.7,0.428,5.3,15.3,0.343,27.2,60.4,0.45,19.7,25.6,0.768,10.9,30.3,41.2,18.6,7.0,5.4,14.7,21.1,89.7
6,Lg Rank,,23,5,3,7.0,16,19,14.0,3,2,7.0,25,24,26.0,4,17,8,3,2,21,18,17,8
7,Year/Year,,-0.4%,-2.0%,-0.0%,-0.009,6.2%,9.3%,-0.01,-3.5%,-2.2%,-0.006,0.9%,-1.4%,0.017,2.3%,-3.9%,-2.3%,3.0%,-7.7%,0.7%,2.9%,3.5%,-1.0%
