StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,19.0,4610,801,1779,0.45,248,673,0.368,553,1106,0.5,281,392,0.717,213,650,863,494,174,92,255,369,2131
Team/G,,242.6,42.2,93.6,0.45,13.1,35.4,0.368,29.1,58.2,0.5,14.8,20.6,0.717,11.2,34.2,45.4,26.0,9.2,4.8,13.4,19.4,112.2
Lg Rank,,2,3,2,15.0,10,15,2.0,7,5,24.0,21,11,28.0,5,23,16,4,5,16,6,23,3
Year/Year,,0.7%,5.6%,6.6%,-0.004,-4.6%,-4.3%,-0.001,10.9%,14.6%,-0.017,-7.1%,-1.3%,-0.045,5.9%,3.1%,3.8%,-3.2%,16.7%,1.3%,-9.6%,7.7%,2.5%
Opponent,19.0,4610,788,1722,0.458,246,750,0.328,542,972,0.558,327,416,0.786,218,719,937,482,154,108,301,366,2149
Opponent/G,,242.6,41.5,90.6,0.458,12.9,39.5,0.328,28.5,51.2,0.558,17.2,21.9,0.786,11.5,37.8,49.3,25.4,8.1,5.7,15.8,19.3,113.1
Lg Rank,,2,27,25,23.0,20,27,8.0,24,9,30.0,29,27,18.0,28,29,30,26,18,25,8,11,29
Year/Year,,0.7%,0.5%,2.8%,-0.011,-10.5%,-0.2%,-0.038,6.4%,5.3%,0.006,19.8%,13.7%,0.041,7.8%,9.6%,9.2%,-6.4%,0.3%,17.9%,7.4%,3.5%,1.5%
