,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Leandro Barbosa,PG,6-3,194,"November 28, 1982",Brazil,9,
1,30,Brandon Bass,PF,6-8,250,"April 30, 1985",United States,7,LSU
2,0,Avery Bradley,PG,6-3,180,"November 26, 1990",United States,2,Texas
3,98,Jason Collins,C,7-0,255,"December 2, 1978",United States,11,Stanford
4,27,Jordan Crawford,SG,6-4,195,"October 23, 1988",United States,2,"Indiana, Xavier"
5,5,Kevin Garnett,C,6-11,240,"May 19, 1976",United States,17,
6,8,Jeff Green,PF,6-8,235,"August 28, 1986",United States,4,Georgetown
7,43,Kris Joseph,SF,6-7,210,"December 17, 1988",Canada,R,Syracuse
8,11,Courtney Lee,SG,6-5,215,"October 3, 1985",United States,4,Western Kentucky
9,13,Fab Melo,C,7-0,255,"June 20, 1990",Brazil,R,Syracuse
10,99,Darko Milicic,C,7-0,250,"June 20, 1985",Serbia,9,
11,34,Paul Pierce,SF,6-7,235,"October 13, 1977",United States,14,Kansas
12,42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",United States,5,Duke
13,9,Rajon Rondo,PG,6-1,180,"February 22, 1986",United States,6,Kentucky
14,7,Jared Sullinger,PF,6-9,260,"March 4, 1992",United States,R,Ohio State
15,4,Jason Terry,SG,6-2,185,"September 15, 1977",United States,13,Arizona
16,41,Jarvis Varnado,PF,6-9,230,"March 1, 1988",United States,R,Mississippi State
17,12,DJ White,PF,6-9,251,"August 31, 1986",United States,4,Indiana
18,44,Chris Wilcox,C,6-10,221,"September 3, 1982",United States,10,Maryland
19,55,Terrence Williams,SF,6-6,220,"June 28, 1987",United States,3,Louisville
