,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,36,36,39,33,1.46,-0.14,1.32,114.0,112.5,98.3,0.234,0.409,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,TD Garden,30067
1,Lg Rank,16,15,13,13,13.0,22.0,13.0,10.0,14.0,21.0,23.0,11.0,12.0,18.0,5.0,22.0,16.0,12.0,13.0,27.0,,18
