,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,11,Rafer Alston,PG,6-2,171,"July 24, 1976",United States,10,Fresno State
1,50,Joel Anthony,C,6-9,245,"August 9, 1982",Canada,2,UNLV
2,8,Carlos Arroyo,PG,6-2,202,"July 30, 1979",Puerto Rico,7,Florida International University
3,30,Michael Beasley,PF,6-9,235,"January 9, 1989",United States,1,Kansas State
4,6,Mario Chalmers,PG,6-2,190,"May 19, 1986",United States,1,Kansas
5,14,Daequan Cook,SG,6-5,205,"April 28, 1987",United States,2,Ohio State
6,9,Yakhouba Diawara,SG,6-7,225,"August 29, 1982",France,3,Pepperdine
7,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",United States,6,Florida
8,22,James Jones,SF,6-8,218,"October 4, 1980",United States,6,Miami (FL)
9,21,Jamaal Magloire,C,6-11,259,"May 21, 1978",Canada,9,Kentucky
10,7,Jermaine O'Neal,C,6-11,226,"October 13, 1978",United States,13,
11,42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",United States,4,Duke
12,5,Quentin Richardson,SF,6-6,223,"April 13, 1980",United States,9,DePaul
13,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",United States,6,Marquette
14,1,Dorell Wright,SF,6-9,205,"December 2, 1985",United States,5,
