,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Derek Anderson,SG,6-5,194,"July 18, 1974",United States,8,"Ohio State, Kentucky"
1,49,Shandon Anderson,SF,6-6,208,"December 31, 1973",United States,9,Georgia
2,30,Earl Barron,C,7-0,250,"August 14, 1981",United States,R,Memphis
3,51,Michael Doleac,C,6-11,262,"June 15, 1977",United States,7,Utah
4,4,Gerald Fitch,PG,6-3,188,"August 12, 1982",United States,R,Kentucky
5,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",United States,2,Florida
6,24,Jason Kapono,SF,6-8,213,"February 4, 1981",United States,2,UCLA
7,33,Alonzo Mourning,C,6-10,240,"February 8, 1970",United States,12,Georgetown
8,32,Shaquille O'Neal,C,7-1,325,"March 6, 1972",United States,13,LSU
9,20,Gary Payton,PG,6-4,180,"July 23, 1968",United States,15,Oregon State
10,42,James Posey,SF,6-8,215,"January 13, 1977",United States,6,Xavier
11,25,Wayne Simien,PF,6-9,255,"March 9, 1983",United States,R,Kansas
12,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",United States,2,Marquette
13,8,Antoine Walker,PF,6-8,224,"August 12, 1976",United States,9,Kentucky
14,44,Matt Walsh,SG,6-6,205,"December 2, 1982",United States,R,Florida
15,55,Jason Williams,PG,6-1,190,"November 18, 1975",United States,7,"Marshall, Florida"
16,1,Dorell Wright,SF,6-9,205,"December 2, 1985",United States,1,
