Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,23.0,CHI,NBA,SF,2.0,0.0,3.0,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
2020-21,24.0,MIA,NBA,SF,39.0,0.0,13.0,2.2,4.8,0.455,1.3,3.8,0.338,0.9,1.0,0.897,0.588,0.4,0.6,0.667,0.1,0.9,1.1,0.6,0.3,0.1,0.2,1.1,6.1
2021-22,25.0,MIA,NBA,SF,8.0,0.0,17.9,2.0,5.4,0.372,1.5,4.3,0.353,0.5,1.1,0.444,0.512,0.1,0.4,0.333,0.3,2.9,3.1,0.8,0.4,0.3,0.6,0.9,5.6
Career,,,NBA,,49.0,0.0,13.4,2.1,4.8,0.442,1.3,3.7,0.339,0.8,1.0,0.82,0.575,0.4,0.6,0.643,0.2,1.2,1.4,0.6,0.3,0.1,0.3,1.0,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIA,NBA,,47.0,0.0,13.8,2.1,4.9,0.439,1.3,3.9,0.341,0.8,1.0,0.813,0.574,0.4,0.6,0.63,0.1,1.3,1.4,0.6,0.3,0.1,0.3,1.1,6.0
1 season,,CHI,NBA,,2.0,0.0,3.0,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
