,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19905,3338,7248,0.461,822,2384,0.345,2516,4864,0.517,1364,1910,0.714,876,2927,3803,1949,633,388,1295,1736,8862
1,Team/G,,242.7,40.7,88.4,0.461,10.0,29.1,0.345,30.7,59.3,0.517,16.6,23.3,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1
2,Lg Rank,,3,7,2,14.0,20,15,29.0,8,8,11.0,16,8,30.0,4,2,2,7,13,17,29,24,11
3,Year/Year,,1.0%,3.5%,1.2%,0.011,12.6%,13.0%,-0.001,0.9%,-3.8%,0.024,-2.4%,3.1%,-0.04,-6.1%,11.0%,6.6%,13.6%,-6.1%,21.3%,4.2%,2.2%,3.3%
4,Opponent,82.0,19905,3366,7374,0.456,855,2469,0.346,2511,4905,0.512,1402,1843,0.761,840,2835,3675,1932,682,447,1170,1679,8989
5,Opponent/G,,242.7,41.0,89.9,0.456,10.4,30.1,0.346,30.6,59.8,0.512,17.1,22.5,0.761,10.2,34.6,44.8,23.6,8.3,5.5,14.3,20.5,109.6
6,Lg Rank,,3,24,28,10.0,14,20,3.0,26,25,13.0,20,20,10.0,23,22,24,16,25,26,16,9,25
7,Year/Year,,1.0%,-1.1%,4.6%,-0.026,3.0%,10.0%,-0.023,-2.5%,2.0%,-0.024,-6.5%,-6.3%,-0.002,-0.4%,1.2%,0.9%,-8.4%,-2.3%,1.6%,-1.5%,10.5%,-1.6%
