,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,19,Leandro Barbosa,SG,6-3,194,"November 28, 1982",Brazil,12,
1,40,Harrison Barnes,SF,6-8,225,"May 30, 1992",United States,3,UNC
2,12,Andrew Bogut,C,7-0,260,"November 28, 1984",Australia,10,Utah
3,21,Ian Clark,SG,6-3,175,"March 7, 1991",United States,2,Belmont
4,30,Stephen Curry,PG,6-3,185,"March 14, 1988",United States,6,Davidson
5,31,Festus Ezeli,C,6-11,255,"October 21, 1989",Nigeria,2,Vanderbilt
6,23,Draymond Green,PF,6-6,230,"March 4, 1990",United States,3,Michigan State
7,9,Andre Iguodala,SF,6-6,215,"January 28, 1984",United States,11,Arizona
8,34,Shaun Livingston,PG,6-7,192,"September 11, 1985",United States,10,
9,36,Kevon Looney,PF,6-9,222,"February 6, 1996",United States,R,UCLA
10,20,James Michael McAdoo,PF,6-9,230,"January 4, 1993",United States,1,UNC
11,4,Brandon Rush,SG,6-6,220,"July 7, 1985",United States,7,Kansas
12,5,Marreese Speights,C,6-10,255,"August 4, 1987",United States,7,Florida
13,1,Jason Thompson,C,6-11,250,"July 21, 1986",United States,7,Rider University
14,11,Klay Thompson,SG,6-6,215,"February 8, 1990",United States,4,Washington State
15,18,Anderson Varejao,C,6-10,273,"September 28, 1982",Brazil,11,
