,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19730,2880,6318,0.456,314,903,0.348,2566,5415,0.474,1769,2245,0.788,888,2484,3372,1762,596,472,1239,1858,7843
1,Team/G,,240.6,35.1,77.0,0.456,3.8,11.0,0.348,31.3,66.0,0.474,21.6,27.4,0.788,10.8,30.3,41.1,21.5,7.3,5.8,15.1,22.7,95.6
2,Lg Rank,,30,25,28,19.0,29,29,20.0,7,4,23.0,6,8,6.0,20,13,13,14,12,1,15,18,23
3,Year/Year,,-0.4%,-3.8%,-1.9%,-0.009,8.3%,7.1%,0.004,-5.1%,-3.3%,-0.009,4.4%,4.8%,-0.003,7.2%,-8.1%,-4.5%,3.2%,11.6%,-6.2%,4.6%,-0.7%,-1.6%
4,Opponent,82.0,19730,2912,6436,0.452,455,1341,0.339,2457,5095,0.482,1602,2142,0.748,843,2377,3220,1722,582,321,1132,1829,7881
5,Opponent/G,,240.6,35.5,78.5,0.452,5.5,16.4,0.339,30.0,62.1,0.482,19.5,26.1,0.748,10.3,29.0,39.3,21.0,7.1,3.9,13.8,22.3,96.1
6,Lg Rank,,30,11,11,10.0,8,11,3.0,12,9,12.0,15,17,11.0,6,7,7,15,13,7,27,14,9
7,Year/Year,,-0.4%,0.9%,-3.0%,0.018,-4.0%,-1.9%,-0.007,1.8%,-3.3%,0.024,0.6%,-1.5%,0.015,-1.7%,-2.3%,-2.1%,-2.4%,2.1%,-9.6%,7.5%,2.9%,0.5%
