,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,10,Darrell Armstrong,PG,6-0,170,"June 22, 1968",United States,8,Fayetteville State University
1,31,Pat Burke,C,6-11,250,"December 14, 1973",Ireland,R,Auburn
2,55,Andrew DeClercq,C,6-10,230,"February 1, 1973",United States,7,Florida
3,8,Pat Garrity,PF,6-9,238,"August 23, 1976",United States,4,Notre Dame
4,7,Gordan Giricek,SF,6-6,210,"June 20, 1977",Croatia,R,
5,9,Drew Gooden,PF,6-10,250,"September 24, 1981",United States,R,Kansas
6,54,Horace Grant,PF,6-10,215,"July 4, 1965",United States,15,Clemson
7,33,Grant Hill,SF,6-8,225,"October 5, 1972",United States,8,Duke
8,4,Ryan Humphrey,PF,6-8,235,"July 24, 1979",United States,R,"Oklahoma, Notre Dame"
9,34,Steven Hunter,C,7-0,220,"October 31, 1981",United States,1,DePaul
10,40,Shawn Kemp,C,6-10,230,"November 26, 1969",United States,13,Trinity Valley CC
11,1,Tracy McGrady,SG,6-8,210,"May 24, 1979",United States,5,
12,50,Mike Miller,SF,6-8,218,"February 19, 1980",United States,2,Florida
13,0,Olumide Oyedeji,C,6-10,240,"May 11, 1981",Nigeria,2,
14,5,Jeryl Sasser,SG,6-6,200,"February 13, 1979",United States,1,SMU
15,11,Jacque Vaughn,PG,6-1,190,"February 11, 1975",United States,5,Kansas
16,12,Chris Whitney,PG,6-0,168,"October 5, 1971",United States,9,Clemson
