,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,11,JJ Barea,PG,5-10,180,"June 26, 1984",Puerto Rico,3,Northeastern University
1,3,Rodrigue Beaubois,PG,6-0,170,"February 24, 1988",Guadeloupe,R,
2,4,Caron Butler,SG,6-7,228,"March 13, 1980",United States,7,UConn
3,13,Matt Carroll,SG,6-6,212,"August 28, 1980",United States,6,Notre Dame
4,25,Erick Dampier,C,6-11,265,"July 14, 1975",United States,13,Mississippi State
5,90,Drew Gooden,C,6-10,250,"September 24, 1981",United States,7,Kansas
6,33,Brendan Haywood,C,7-0,268,"November 27, 1979",United States,8,UNC
7,5,Josh Howard,SF,6-7,210,"April 28, 1980",United States,6,Wake Forest
8,43,Kris Humphries,PF,6-9,235,"February 6, 1985",United States,5,Minnesota
9,2,Jason Kidd,PG,6-4,205,"March 23, 1973",United States,15,California
10,0,Shawn Marion,SF,6-7,220,"May 7, 1978",United States,10,"Vincennes University, UNLV"
11,14,Eduardo Najera,PF,6-8,240,"July 11, 1976",Mexico,9,Oklahoma
12,41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",Germany,11,
13,6,Quinton Ross,SF,6-6,195,"April 30, 1981",United States,5,SMU
14,33,James Singleton,SF,6-8,216,"July 20, 1981",United States,3,Murray State
15,92,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",United States,9,
16,31,Jason Terry,SG,6-2,185,"September 15, 1977",United States,10,Arizona
17,7,Tim Thomas,SF,6-10,230,"February 26, 1977",United States,12,Villanova
