Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
45,Eric Bledsoe,PG,32,LAC,24,22,27.1,3.4,8.3,.410,0.8,2.9,.271,2.6,5.4,.485,.458,1.7,2.0,.837,0.7,3.4,4.1,3.5,1.3,0.5,2.0,1.7,9.3,650,11.7,.506,.350,.245,2.8,12.8,8.0,19.2,2.3,1.5,18.1,18.1,,-0.1,1.0,0.9,.065,,-2.7,1.2,-1.5,0.1
46,Keljin Blevins,SF,26,POR,3,0,4.7,0.7,1.3,.500,0.7,1.0,.667,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.0,2.0,14,8.5,.750,.750,.000,0.0,8.0,3.9,10.3,0.0,0.0,33.3,18.6,,0.0,0.0,0.0,-0.049,,1.4,-4.2,-2.8,0.0
47,Bogdan Bogdanovic,SG,29,ATL,20,20,28.2,4.5,10.0,.447,2.2,5.5,.391,2.3,4.5,.517,.555,0.6,0.7,.786,0.4,3.2,3.6,2.5,0.7,0.2,0.9,1.9,11.6,564,13.0,.565,.553,.070,1.4,12.0,6.8,12.3,1.1,0.7,8.1,17.3,,0.8,0.2,1.0,.085,,-0.2,-1.0,-1.2,0.1
48,Bojan Bogdanovic,PF,32,UTA,23,23,30.2,5.6,12.2,.461,2.5,6.2,.408,3.1,6.0,.514,.564,3.1,3.3,.922,0.8,3.2,4.0,1.9,0.5,0.0,1.5,1.4,16.8,695,16.8,.616,.507,.275,3.0,11.0,7.2,9.5,0.8,0.1,10.0,21.8,,1.8,0.5,2.2,.154,,2.3,-1.4,0.9,0.5
49,Bol Bol,PF,22,DEN,10,0,4.7,0.7,1.5,.467,0.0,0.3,.000,0.7,1.2,.583,.467,0.1,0.3,.333,0.2,1.2,1.4,0.2,0.1,0.2,0.0,0.3,1.5,47,13.4,.460,.200,.200,4.8,28.4,16.6,6.3,1.1,4.0,0.0,15.6,,0.0,0.1,0.1,.086,,-1.2,0.4,-0.8,0.0
50,Leandro Bolmaro,SF,21,MIN,12,0,8.5,0.6,1.5,.389,0.1,0.5,.167,0.5,1.0,.500,.417,0.5,0.6,.857,0.8,1.3,2.0,0.5,0.1,0.0,0.6,1.0,1.8,102,6.2,.498,.333,.389,8.8,16.0,12.2,7.9,0.5,0.0,24.9,11.5,,0.0,0.1,0.1,.034,,-4.7,-1.1,-5.8,-0.1
51,Isaac Bonga,SF,22,TOR,8,0,4.4,0.1,0.8,.167,0.0,0.3,.000,0.1,0.5,.250,.167,0.3,0.5,.500,0.3,0.3,0.5,0.3,0.5,0.1,0.1,0.6,0.5,35,6.3,.258,.333,.667,5.9,6.6,6.2,7.2,5.7,2.8,11.4,10.7,,-0.1,0.1,0.0,.000,,-6.9,3.7,-3.2,0.0
52,Devin Booker,SG,25,PHO,21,21,32.2,8.6,18.7,.458,2.4,5.9,.403,6.2,12.8,.483,.522,3.7,4.3,.857,0.9,4.0,4.9,4.5,0.9,0.2,2.7,2.3,23.2,676,19.7,.563,.316,.232,2.9,12.8,8.0,22.7,1.3,0.7,11.6,31.5,,0.9,0.8,1.8,.126,,2.2,-1.1,1.1,0.5
53,Brandon Boston Jr,SG,20,LAC,11,0,9.2,1.2,3.2,.371,0.3,0.9,.300,0.9,2.3,.400,.414,1.1,1.2,.923,0.1,0.9,1.0,0.4,0.5,0.3,0.5,0.7,3.7,101,10.3,.503,.286,.371,1.1,10.2,5.7,5.8,2.4,2.6,12.8,20.1,,-0.1,0.2,0.1,.044,,-5.5,0.4,-5.1,-0.1
54,Chris Boucher,PF,29,TOR,22,0,13.7,2.4,6.0,.397,0.5,2.5,.185,1.9,3.5,.545,.435,1.1,1.6,.686,1.4,2.6,4.0,0.3,0.5,0.8,0.5,1.4,6.3,301,15.9,.471,.412,.267,10.3,21.9,15.7,3.6,1.8,5.6,7.6,22.6,,0.1,0.4,0.5,.083,,-1.8,-0.5,-2.3,0.0
55,James Bouknight,SG,21,CHO,8,0,2.3,0.0,0.9,.000,0.0,0.1,.000,0.0,0.8,.000,.000,0.3,0.3,1.000,0.1,0.1,0.3,0.3,0.0,0.0,0.0,0.1,0.3,18,-5.0,.127,.143,.286,5.7,6.0,5.8,12.6,0.0,0.0,0.0,18.5,,-0.1,0.0,-0.1,-0.258,,-10.6,-7.4,-18.0,-0.1
56,Avery Bradley,SG,31,LAL,21,16,22.2,1.9,5.0,.381,1.0,3.0,.349,0.9,2.0,.429,.486,0.1,0.1,1.000,0.5,2.0,2.5,0.9,0.6,0.2,0.6,1.4,5.0,467,6.3,.491,.600,.019,2.3,9.6,6.0,5.1,1.3,0.8,10.2,10.8,,-0.1,0.3,0.2,.025,,-3.8,-1.1,-4.9,-0.3
57,Tony Bradley,C,24,CHI,18,7,12.7,1.7,2.9,.566,0.0,0.0,,1.7,2.9,.566,.566,0.2,0.3,.800,1.4,2.7,4.1,0.4,0.1,0.6,0.7,1.4,3.6,229,12.8,.580,.000,.094,12.6,22.8,17.8,4.2,0.2,3.9,17.9,12.9,,0.2,0.3,0.5,.112,,-2.2,-0.5,-2.7,0.0
58,Ignas Brazdeikis,SF,23,ORL,11,0,8.4,0.6,2.5,.259,0.3,1.5,.188,0.4,1.0,.364,.315,0.1,0.2,.500,0.5,1.1,1.5,0.5,0.3,0.0,0.3,1.0,1.6,92,2.8,.323,.593,.074,5.7,13.7,9.7,7.8,1.6,0.0,9.7,14.4,,-0.2,0.1,-0.1,-0.071,,-6.6,-2.7,-9.3,-0.2
59,Mikal Bridges,SF,25,PHO,23,23,34.6,5.0,9.3,.540,1.3,3.2,.405,3.7,6.1,.610,.609,1.0,1.2,.852,0.7,3.1,3.8,1.8,1.5,0.6,0.8,2.2,12.4,796,13.7,.628,.344,.126,2.3,9.1,5.8,7.2,2.1,1.4,7.4,13.4,,1.3,1.1,2.4,.143,,-0.2,0.7,0.5,0.5
60,Miles Bridges,PF,23,CHO,25,25,36.4,7.5,16.1,.467,2.2,6.7,.335,5.3,9.4,.559,.536,3.1,4.0,.770,1.3,6.0,7.3,3.2,1.3,1.0,1.8,2.7,20.4,909,18.0,.569,.414,.248,3.6,18.1,10.6,12.9,1.7,2.5,9.0,22.8,,1.6,0.5,2.1,.110,,2.0,-1.0,1.0,0.7
61,Oshae Brissett,SF,23,IND,14,0,12.3,1.6,3.6,.431,0.6,1.8,.360,0.9,1.9,.500,.520,0.1,0.6,.222,0.5,1.8,2.3,0.4,0.3,0.2,0.7,1.0,3.9,172,7.9,.500,.490,.176,4.5,15.6,10.1,4.9,1.1,1.5,15.4,16.4,,-0.1,0.2,0.0,.007,,-2.5,-1.2,-3.7,-0.1
62,Malcolm Brogdon,PG,29,IND,20,20,35.5,7.4,16.3,.452,2.0,6.2,.315,5.4,10.1,.537,.512,4.0,4.6,.870,1.0,4.8,5.8,6.1,0.9,0.6,2.4,2.1,20.7,710,19.7,.565,.382,.283,2.9,14.5,8.8,27.3,1.2,1.3,11.6,25.3,,1.6,0.6,2.3,.153,,3.8,-0.1,3.7,1.0
63,Armoni Brooks,SG,23,HOU,19,0,12.9,1.8,4.9,.362,1.4,4.1,.333,0.4,0.8,.500,.500,0.4,0.4,.875,0.3,1.2,1.4,0.7,0.6,0.2,0.2,1.3,5.3,246,11.6,.518,.830,.085,2.2,9.4,5.8,8.8,2.3,1.1,3.9,17.4,,0.2,0.2,0.4,.079,,-1.7,-0.3,-2.0,0.0
64,Dillon Brooks,SF,26,MEM,10,9,25.1,6.2,15.0,.413,1.5,4.9,.306,4.7,10.1,.465,.463,3.0,3.3,.909,0.8,2.5,3.3,2.3,1.3,0.2,2.3,3.5,16.9,251,14.9,.514,.327,.220,3.4,10.7,7.0,14.7,2.5,0.7,12.3,31.3,,0.0,0.1,0.2,.030,,-2.1,-2.6,-4.7,-0.2
65,Bruce Brown,SF,25,BRK,20,14,23.1,3.0,6.6,.450,0.4,1.2,.304,2.6,5.4,.481,.477,0.5,0.7,.692,1.2,3.0,4.2,1.1,1.3,0.5,0.7,2.4,6.7,461,11.0,.490,.176,.099,5.7,13.2,9.6,6.8,2.7,1.9,8.7,14.3,,0.1,0.7,0.8,.083,,-3.5,1.1,-2.4,0.0
66,Greg Brown III,SF,20,POR,11,0,4.6,0.6,1.8,.350,0.0,0.4,.000,0.6,1.5,.438,.350,0.2,0.6,.286,0.5,0.8,1.3,0.5,0.2,0.4,0.2,0.6,1.5,51,10.8,.347,.200,.350,10.6,19.8,15.1,14.0,1.9,7.4,8.0,21.4,,-0.1,0.1,0.0,-0.032,,-4.7,0.3,-4.4,0.0
67,Jaylen Brown,SF,25,BOS,13,13,32.8,7.8,16.8,.463,2.4,6.5,.365,5.4,10.2,.526,.534,3.5,4.5,.763,0.5,4.8,5.2,2.2,1.1,0.5,2.4,2.7,21.4,426,17.6,.570,.390,.271,1.5,15.7,8.5,12.1,1.6,1.4,11.3,28.4,,0.4,0.5,0.9,.096,,1.8,-0.8,0.9,0.3
68,Moses Brown,C,22,DAL,9,1,3.8,0.6,0.7,.833,0.0,0.0,,0.6,0.7,.833,.833,0.6,1.1,.500,0.2,0.8,1.0,0.0,0.1,0.2,0.4,0.8,1.7,34,13.8,.721,.000,1.667,6.0,23.3,14.2,0.0,1.5,5.2,27.8,18.8,,0.0,0.1,0.1,.080,,-7.3,0.2,-7.0,0.0
69,Sterling Brown,SG,26,DAL,20,0,12.8,1.1,3.1,.355,0.6,2.0,.275,0.6,1.1,.500,.444,0.2,0.2,1.000,0.7,2.5,3.2,0.8,0.5,0.1,0.7,1.2,3.0,256,7.8,.463,.645,.065,5.6,22.1,13.5,8.1,1.7,0.7,18.0,13.5,,-0.2,0.3,0.1,.022,,-4.1,-0.5,-4.6,-0.2
70,Troy Brown Jr,SF,22,CHI,15,0,9.7,1.4,3.2,.438,0.5,1.5,.348,0.9,1.7,.520,.521,0.3,0.5,.625,0.3,1.7,1.9,0.6,0.2,0.0,0.3,0.7,3.7,146,11.2,.534,.479,.167,3.0,18.7,10.9,8.7,1.0,0.0,8.8,17.0,,0.1,0.2,0.2,.079,,-1.5,-1.7,-3.2,0.0
71,Jalen Brunson,PG,25,DAL,21,6,29.1,5.9,12.0,.490,1.0,3.1,.338,4.8,8.9,.543,.534,2.0,2.5,.788,0.6,3.3,3.9,5.0,0.8,0.0,1.5,2.0,14.7,612,17.9,.564,.259,.207,2.0,13.0,7.2,28.1,1.4,0.1,10.5,22.2,,1.3,0.4,1.7,.133,,1.3,-0.9,0.4,0.4
72,Reggie Bullock,SF,30,DAL,21,5,23.1,2.0,6.0,.344,1.2,4.3,.275,0.9,1.6,.529,.444,0.2,0.4,.625,0.2,2.6,2.8,0.6,0.3,0.0,0.7,1.5,5.5,486,4.0,.451,.728,.064,0.8,12.6,6.4,3.7,0.6,0.2,9.8,13.0,,-0.5,0.2,-0.2,-0.023,,-4.9,-2.6,-7.5,-0.7
73,Trey Burke,PG,29,DAL,13,0,10.8,2.4,5.2,.456,0.8,1.8,.417,1.6,3.4,.477,.529,0.8,0.8,.909,0.0,0.7,0.7,1.4,0.4,0.0,0.9,0.7,6.3,141,15.3,.563,.353,.162,0.0,7.2,3.4,21.8,1.8,0.0,14.1,26.7,,0.1,0.1,0.2,.056,,0.0,-1.7,-1.7,0.0
74,Alec Burks,SG,30,NYK,23,4,24.1,3.5,8.3,.417,2.1,4.7,.440,1.4,3.6,.386,.542,2.3,2.8,.815,0.4,3.5,3.9,1.9,1.2,0.3,0.7,2.0,11.3,555,17.0,.592,.568,.339,1.7,15.4,8.5,12.2,2.5,1.2,7.2,18.8,,1.2,0.6,1.8,.158,,1.3,1.1,2.5,0.6
75,Jared Butler,SG,21,UTA,14,0,4.6,0.6,2.0,.286,0.3,1.1,.250,0.3,0.9,.333,.357,0.3,0.5,.571,0.0,0.5,0.5,0.5,0.1,0.4,0.5,0.9,1.7,65,3.9,.386,.571,.250,0.0,11.2,5.9,14.8,1.5,7.8,18.4,25.5,,-0.2,0.1,-0.1,-0.095,,-8.5,1.2,-7.3,-0.1
76,Jimmy Butler,SF,32,MIA,17,17,34.2,7.9,15.3,.519,0.4,1.8,.200,7.6,13.5,.561,.531,7.4,8.6,.850,1.6,4.2,5.8,5.3,2.1,0.3,1.9,1.7,23.6,582,27.7,.618,.115,.565,5.3,13.7,9.5,26.7,3.1,1.0,9.2,27.2,,2.6,0.8,3.4,.284,,5.8,3.0,8.8,1.6
77,Devontae Cacok,PF,25,SAS,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2,80.3,1.000,.000,.000,52.2,53.3,52.8,100.0,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,1.140,,45.6,13.8,59.3,0.0
78,Kentavious Caldwell-Pope,SG,28,WAS,24,24,28.9,4.0,9.1,.440,2.1,5.3,.397,1.9,3.8,.500,.555,1.4,1.6,.895,0.6,3.0,3.6,1.6,1.3,0.3,1.2,1.9,11.5,694,13.4,.588,.578,.174,2.3,10.6,6.6,8.2,2.3,0.9,10.7,16.9,,0.7,0.8,1.5,.101,,-0.4,1.0,0.6,0.5
79,Facundo Campazzo,PG,30,DEN,21,0,18.7,2.0,4.6,.427,1.1,3.0,.387,0.8,1.6,.500,.552,0.8,1.0,.810,0.4,1.4,1.8,2.4,0.9,0.2,1.2,1.9,5.9,393,11.7,.584,.646,.219,2.3,8.5,5.4,17.6,2.4,1.2,19.2,14.9,,0.3,0.4,0.7,.090,,-2.2,0.6,-1.6,0.0
80,Vlatko Cancar,PF,24,DEN,4,0,6.5,0.8,1.8,.429,0.5,0.5,1.000,0.3,1.3,.200,.571,0.8,1.0,.750,0.3,0.3,0.5,1.0,0.3,0.0,0.5,0.8,2.8,26,14.7,.628,.286,.571,4.3,4.3,4.3,21.6,1.9,0.0,18.6,18.6,,0.1,0.0,0.1,.139,,-0.5,-1.2,-1.7,0.0
81,Clint Capela,C,27,ATL,24,24,29.8,5.2,9.0,.574,0.0,0.0,.000,5.2,9.0,.577,.574,1.2,2.4,.491,4.0,8.5,12.5,1.2,0.9,1.3,0.6,2.5,11.5,716,20.9,.572,.005,.264,14.7,30.2,22.6,5.9,1.4,4.1,5.9,15.6,,1.9,1.0,2.9,.191,,1.5,-0.4,1.1,0.6
82,Vernon Carey Jr,C,20,CHO,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-27.5,.000,.000,.000,0.0,100.0,52.6,0.0,0.0,0.0,0.0,42.2,,0.0,0.0,0.0,-0.899,,-28.8,-16.4,-45.2,0.0
83,Jevon Carter,PG,26,BRK,23,1,12.7,0.9,3.2,.284,0.8,2.5,.310,0.1,0.7,.188,.405,0.1,0.2,.750,0.2,1.3,1.5,1.1,0.3,0.3,0.3,1.3,2.7,293,5.9,.416,.784,.054,1.5,10.7,6.3,11.7,1.3,2.1,8.5,12.4,,-0.2,0.3,0.2,.026,,-4.7,0.3,-4.4,-0.2
84,Wendell Carter Jr,C,22,ORL,24,24,28.8,5.2,10.0,.517,1.4,3.9,.351,3.8,6.1,.623,.585,1.4,2.0,.694,2.2,7.6,9.8,2.2,0.7,0.7,1.3,2.6,13.1,692,18.4,.602,.392,.204,7.9,27.9,17.8,12.7,1.1,2.2,10.9,18.2,,1.3,0.7,2.1,.143,,2.0,-0.4,1.6,0.6
85,Alex Caruso,PG,27,CHI,23,6,28.6,2.8,6.4,.442,1.0,3.0,.333,1.8,3.4,.538,.520,1.8,2.1,.857,1.0,2.8,3.7,4.1,2.2,0.4,1.5,2.7,8.5,658,14.8,.578,.469,.333,3.7,10.6,7.2,18.9,3.8,1.2,16.8,13.5,,1.0,1.1,2.1,.150,,-1.0,2.5,1.5,0.6
86,Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,.457,0.1,0.1,.500,0.8,1.8,.455,.471,0.1,0.1,.500,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9,177,8.7,.474,.057,.057,7.5,16.0,11.6,7.1,1.7,1.5,16.3,10.8,,0.0,0.2,0.2,.049,,-3.8,-0.7,-4.5,-0.1
87,Justin Champagnie,SF,20,TOR,10,0,3.8,0.3,0.9,.333,0.0,0.1,.000,0.3,0.8,.375,.333,0.4,0.4,1.000,0.6,0.4,1.0,0.1,0.0,0.1,0.0,0.6,1.0,38,12.1,.465,.111,.444,16.3,12.2,14.3,3.5,0.0,2.6,0.0,12.1,,0.1,0.0,0.1,.124,,-2.6,-2.5,-5.1,0.0
88,Chris Chiozza,PG,26,GSW,11,0,11.3,1.0,2.7,.367,0.8,2.0,.409,0.2,0.7,.250,.517,0.1,0.1,1.000,0.5,1.0,1.5,1.6,0.5,0.0,0.8,1.4,2.9,124,8.3,.526,.733,.033,4.6,9.2,7.0,18.9,1.9,0.0,22.8,13.7,,0.0,0.2,0.2,.095,,-3.2,0.7,-2.5,0.0
89,Josh Christopher,SG,20,HOU,15,0,7.5,1.1,2.9,.372,0.3,0.7,.364,0.8,2.1,.375,.419,0.5,0.6,.778,0.3,0.7,1.0,0.8,0.4,0.0,0.7,0.6,2.9,112,8.6,.458,.256,.209,3.8,10.3,7.1,16.6,2.5,0.0,17.6,21.4,,-0.2,0.1,-0.1,-0.028,,-4.7,-1.6,-6.4,-0.1
90,Brandon Clarke,PF,25,MEM,19,0,16.0,3.4,5.5,.610,0.1,0.6,.091,3.3,4.9,.670,.614,0.9,1.4,.667,1.7,2.6,4.4,1.4,0.4,0.9,0.4,1.7,7.7,304,22.7,.629,.105,.257,11.4,17.7,14.5,12.9,1.1,5.1,6.4,17.2,,1.1,0.2,1.3,.206,,2.2,-0.7,1.5,0.3
91,Jordan Clarkson,SG,29,UTA,23,0,24.8,5.3,14.2,.370,2.6,8.9,.294,2.7,5.3,.496,.462,1.7,2.0,.826,0.7,2.4,3.1,2.0,0.7,0.2,1.3,1.7,14.8,570,13.5,.490,.624,.141,3.3,10.0,6.8,13.0,1.3,0.7,8.0,28.8,,0.2,0.5,0.7,.057,,-0.6,-2.2,-2.8,-0.1
92,Nicolas Claxton,C,22,BRK,5,3,15.8,2.2,4.0,.550,0.0,0.0,,2.2,4.0,.550,.550,0.8,1.8,.444,0.6,3.8,4.4,0.6,0.0,0.8,0.8,1.6,5.2,79,10.6,.543,.000,.450,4.2,24.3,14.7,5.5,0.0,4.5,14.3,15.5,,0.0,0.1,0.1,.064,,-5.2,-0.9,-6.1,-0.1
93,Amir Coffey,SG,24,LAC,16,3,12.9,0.9,2.5,.350,0.6,1.9,.333,0.3,0.6,.400,.475,1.1,1.2,.895,0.2,1.4,1.6,0.7,0.1,0.1,0.3,0.8,3.4,207,8.1,.569,.750,.475,1.6,11.4,6.6,7.2,0.2,0.8,9.4,11.2,,0.2,0.2,0.4,.091,,-2.3,-0.2,-2.6,0.0
94,John Collins,PF,24,ATL,24,24,32.5,6.6,11.6,.572,1.2,2.9,.406,5.5,8.7,.627,.622,2.7,3.5,.783,1.7,6.2,7.9,2.2,0.8,1.4,1.2,2.8,17.1,779,21.8,.653,.248,.299,5.8,20.2,13.1,10.3,1.1,3.9,8.2,19.2,,2.6,0.7,3.3,.204,,2.8,0.4,3.2,1.0
95,Mike Conley,PG,34,UTA,21,21,28.5,5.1,10.0,.510,2.7,5.7,.475,2.4,4.3,.556,.645,1.3,1.6,.848,0.3,1.7,2.0,5.4,1.2,0.3,1.8,2.0,14.2,598,19.7,.666,.571,.157,1.2,6.1,3.8,28.5,2.1,0.8,14.5,19.1,,2.1,0.6,2.7,.217,,3.7,0.3,4.0,0.9
96,Pat Connaughton,SG,29,MIL,24,10,28.8,4.5,9.0,.493,2.8,6.5,.420,1.7,2.5,.683,.645,0.7,0.9,.727,0.9,4.0,4.9,1.5,1.0,0.3,0.9,1.5,12.3,692,15.7,.653,.724,.101,3.2,14.0,8.7,7.7,1.6,1.1,8.5,15.3,,1.5,0.8,2.3,.160,,1.9,-0.2,1.7,0.6
97,Tyler Cook,PF,24,CHI,1,0,12.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,2.0,2.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,12,19.2,.773,.000,.667,0.0,18.2,9.2,24.2,0.0,0.0,20.5,17.9,,0.0,0.0,0.1,.217,,2.8,2.0,4.9,0.0
98,Sharife Cooper,PG,20,ATL,5,0,2.2,0.2,0.8,.250,0.0,0.4,.000,0.2,0.4,.500,.250,0.0,0.0,,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.4,11,3.6,.250,.500,.000,0.0,0.0,0.0,47.1,0.0,0.0,20.0,19.9,,0.0,0.0,0.0,-0.150,,-4.7,-5.1,-9.7,0.0
99,Petr Cornelie,PF,26,DEN,5,0,4.2,0.4,1.4,.286,0.0,0.8,.000,0.4,0.6,.667,.286,0.0,0.0,,1.0,0.6,1.6,0.6,0.0,0.0,0.4,0.6,0.8,21,6.9,.286,.571,.000,26.6,15.9,21.2,19.5,0.0,0.0,22.2,19.3,,0.0,0.0,0.0,-0.052,,-6.6,-4.2,-10.8,0.0
100,DeMarcus Cousins,C-F,31,MIL,2,0,13.0,2.5,5.5,.455,0.5,1.0,.500,2.0,4.5,.444,.500,3.5,4.0,.875,2.0,2.5,4.5,1.5,0.5,0.0,0.5,2.5,9.0,26,28.1,.620,.182,.727,16.3,19.4,17.9,18.0,1.9,0.0,6.4,25.6,,0.2,0.0,0.2,.356,,1.5,2.5,4.0,0.0
101,Robert Covington,PF,31,POR,24,24,26.4,2.5,6.1,.408,1.7,4.6,.364,0.8,1.5,.541,.544,0.1,0.1,1.000,0.5,3.9,4.4,1.2,1.0,1.0,1.1,2.1,6.8,633,9.4,.549,.748,.020,2.0,16.7,9.2,6.0,1.8,3.4,14.9,12.0,,0.0,0.4,0.4,.033,,-2.2,0.3,-1.9,0.0
102,Torrey Craig,SF,31,IND,25,1,15.7,2.1,4.2,.491,0.6,2.0,.275,1.5,2.2,.691,.557,0.7,0.9,.773,1.2,2.1,3.3,0.9,0.4,0.3,0.6,1.6,5.4,393,13.6,.584,.481,.208,8.4,14.2,11.3,8.0,1.4,1.5,11.5,14.5,,0.6,0.4,1.0,.124,,-0.2,-0.1,-0.4,0.2
103,Jae Crowder,PF,31,PHO,23,23,27.8,3.0,7.8,.378,1.8,5.3,.333,1.2,2.5,.474,.492,1.1,1.4,.788,0.4,4.3,4.7,1.4,1.3,0.4,0.8,2.2,8.8,640,10.4,.522,.683,.183,1.7,15.6,8.9,6.7,2.2,1.4,8.5,14.4,,0.2,1.0,1.2,.091,,-1.8,1.0,-0.9,0.2
104,Jarrett Culver,SG,22,MEM,7,0,9.1,1.9,3.6,.520,0.4,1.3,.333,1.4,2.3,.625,.580,0.6,1.1,.500,0.3,1.3,1.6,1.6,0.4,0.0,0.3,0.1,4.7,64,21.3,.579,.360,.320,3.3,15.1,9.1,25.7,2.3,0.0,6.6,20.0,,0.2,0.0,0.2,.173,,2.2,-0.8,1.4,0.1
105,Cade Cunningham,PG,20,DET,17,17,31.4,5.2,14.1,.371,2.1,7.2,.287,3.2,6.9,.458,.444,1.6,1.9,.844,1.0,5.3,6.3,4.6,1.2,0.6,3.7,2.5,14.1,533,10.7,.472,.508,.133,3.2,19.9,10.9,25.7,1.9,1.9,19.9,25.6,,-1.0,0.5,-0.5,-0.043,,-2.7,-0.4,-3.1,-0.1
106,Seth Curry,SG,31,PHI,21,21,34.0,6.0,11.6,.512,2.2,5.2,.427,3.7,6.4,.582,.609,2.2,2.4,.902,0.4,2.4,2.8,2.7,0.9,0.1,1.6,2.4,16.3,713,15.6,.644,.451,.209,1.4,7.7,4.5,12.3,1.3,0.3,11.3,19.0,,1.5,0.3,1.8,.119,,1.2,-2.1,-0.8,0.2
107,Stephen Curry,PG,33,GSW,22,22,34.4,9.0,20.6,.437,5.4,13.2,.410,3.6,7.4,.485,.568,4.1,4.5,.929,0.6,5.1,5.7,6.5,1.8,0.5,3.1,1.8,27.5,756,25.4,.611,.640,.216,2.1,15.3,9.0,31.5,2.5,1.4,12.1,32.1,,2.5,1.5,4.0,.255,,7.7,0.9,8.6,2.0
108,Anthony Davis,C,28,LAL,23,23,35.7,9.7,18.5,.523,0.4,2.1,.188,9.3,16.4,.566,.534,4.6,6.4,.721,3.0,7.0,10.0,3.1,1.3,2.2,2.0,2.3,24.4,822,25.4,.572,.113,.345,9.0,20.4,14.7,15.0,1.7,5.6,8.6,27.8,,2.1,1.2,3.3,.192,,3.1,0.2,3.3,1.1
109,Ed Davis,C,32,CLE,9,2,8.6,0.8,1.1,.700,0.0,0.0,,0.8,1.1,.700,.700,0.1,0.2,.500,0.4,2.8,3.2,0.1,0.2,0.4,0.3,1.0,1.7,77,12.0,.689,.000,.200,5.8,34.6,20.5,1.8,1.3,4.6,21.6,7.9,,0.1,0.2,0.2,.138,,-3.5,2.5,-1.0,0.0
110,Terence Davis,SG,24,SAC,16,5,16.2,3.1,7.9,.394,1.4,4.8,.299,1.7,3.1,.540,.484,0.7,0.9,.733,0.2,2.3,2.4,0.8,0.8,0.3,1.1,2.1,8.4,259,10.6,.501,.606,.118,1.2,14.6,7.9,7.3,2.2,1.6,11.9,24.9,,-0.3,0.2,0.0,-0.006,,-3.6,-0.2,-3.7,-0.1
111,Gabriel Deck,PF,26,OKC,6,0,7.5,1.0,2.0,.500,0.2,0.5,.333,0.8,1.5,.556,.542,0.0,0.0,,0.2,0.7,0.8,0.5,0.2,0.0,0.3,0.3,2.2,45,8.8,.542,.250,.000,2.2,9.3,5.7,10.8,1.1,0.0,14.3,13.4,,0.0,0.0,0.0,.023,,-2.7,-2.9,-5.6,0.0
112,Dewayne Dedmon,C,32,MIA,24,6,15.5,2.1,3.8,.554,0.3,0.5,.636,1.8,3.4,.543,.592,1.2,1.5,.778,1.8,3.8,5.6,0.7,0.4,0.4,0.9,2.0,5.7,371,16.9,.635,.120,.391,13.1,27.5,20.4,6.4,1.2,3.0,16.3,15.4,,0.8,0.6,1.4,.176,,-0.8,0.0,-0.7,0.1
113,Sam Dekker,PF,27,TOR,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.015,,-8.6,-2.7,-11.3,0.0
114,DeMar DeRozan,SF,32,CHI,24,24,35.3,9.5,19.0,.498,0.8,2.5,.333,8.6,16.5,.523,.520,6.6,7.5,.888,0.6,4.7,5.3,4.1,0.9,0.4,2.0,2.3,26.4,846,23.5,.592,.132,.393,2.0,14.4,8.3,19.7,1.3,0.9,8.4,30.3,,2.6,0.9,3.5,.200,,3.8,-0.9,2.9,1.1
115,Hamidou Diallo,SG,23,DET,16,1,14.6,2.5,4.8,.519,0.3,0.9,.267,2.3,3.9,.581,.545,0.9,1.1,.778,0.9,1.9,2.8,0.7,0.7,0.4,0.7,1.7,6.1,233,15.5,.577,.195,.234,6.5,15.2,10.5,8.4,2.3,2.7,11.5,17.7,,0.3,0.2,0.5,.104,,-1.8,0.8,-0.9,0.1
